May	O	O	O	O	
7th	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
I	O	O	O	O	
love	O	O	O	O	
my	B-FAC	O	O	O	
garden	I-FAC	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
am	O	O	O	O	
writing	O	O	O	O	
in	O	O	O	O	
it	O	O	O	O	
now	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
late	O	O	O	O	
afternoon	O	O	O	O	
loveliness	O	O	O	O	
,	O	O	O	O	
much	O	O	O	O	
interrupted	O	O	O	O	
by	O	O	O	O	
the	O	O	O	O	
mosquitoes	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
temptation	O	O	O	O	
to	O	O	O	O	
look	O	O	O	O	
at	O	O	O	O	
all	O	O	O	O	
the	O	O	O	O	
glories	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
new	O	O	O	O	
green	O	O	O	O	
leaves	O	O	O	O	
washed	O	O	O	O	
half	O	O	O	O	
an	O	O	O	O	
hour	O	O	O	O	
ago	O	O	O	O	
in	O	O	O	O	
a	O	O	O	O	
cold	O	O	O	O	
shower	O	O	O	O	
.	O	O	O	O	

Two	O	O	O	O	
owls	O	O	O	O	
are	O	O	O	O	
perched	O	O	O	O	
near	O	O	O	O	
me	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
are	O	O	O	O	
carrying	O	O	O	O	
on	O	O	O	O	
a	O	O	O	O	
long	O	O	O	O	
conversation	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
enjoy	O	O	O	O	
as	O	O	O	O	
much	O	O	O	O	
as	O	O	O	O	
any	O	O	O	O	
warbling	O	O	O	O	
of	O	O	O	O	
nightingales	O	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
gentleman	O	O	O	O	
owl	O	O	O	O	
says	O	O	O	O	
[	O	O	O	O	
[	O	O	O	O	
musical	O	O	O	O	
notes	O	O	O	O	
occur	O	O	O	O	
here	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
printed	O	O	O	O	
text	O	O	O	O	
]	O	O	O	O	
]	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
she	O	O	O	O	
answers	O	O	O	O	
from	O	O	O	O	
her	O	O	O	O	
tree	O	O	O	O	
a	O	O	O	O	
little	O	O	O	O	
way	O	O	O	O	
off	O	O	O	O	
,	O	O	O	O	
[	O	O	O	O	
[	O	O	O	O	
musical	O	O	O	O	
notes	O	O	O	O	
]	O	O	O	O	
]	O	O	O	O	
,	O	O	O	O	
beautifully	O	O	O	O	
assenting	O	O	O	O	
to	O	O	O	O	
and	O	O	O	O	
completing	O	O	O	O	
her	O	O	O	O	
lord	O	O	O	O	
’s	O	O	O	O	
remark	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
becomes	O	O	O	O	
a	O	O	O	O	
properly	O	O	O	O	
constructed	O	O	O	O	
German	O	O	O	O	
she-owl	O	O	O	O	
.	O	O	O	O	

They	O	O	O	O	
say	O	O	O	O	
the	O	O	O	O	
same	O	O	O	O	
thing	O	O	O	O	
over	O	O	O	O	
and	O	O	O	O	
over	O	O	O	O	
again	O	O	O	O	
so	O	O	O	O	
emphatically	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
think	O	O	O	O	
it	O	O	O	O	
must	O	O	O	O	
be	O	O	O	O	
something	O	O	O	O	
nasty	O	O	O	O	
about	O	O	O	O	
me	O	O	O	O	
;	O	O	O	O	
but	O	O	O	O	
I	O	O	O	O	
shall	O	O	O	O	
not	O	O	O	O	
let	O	O	O	O	
myself	O	O	O	O	
be	O	O	O	O	
frightened	O	O	O	O	
away	O	O	O	O	
by	O	O	O	O	
the	O	O	O	O	
sarcasm	O	O	O	O	
of	O	O	O	O	
owls	O	O	O	O	
.	O	O	O	O	

This	O	O	O	O	
is	O	O	O	O	
less	O	O	O	O	
a	B-FAC	O	O	O	
garden	I-FAC	O	O	O	
