Chapter	O	O	O	O	
I	O	O	O	O	
My	B-PER	O	O	O	
father	I-PER	O	O	O	
's	O	O	O	O	
family	O	O	O	O	
name	O	O	O	O	
being	O	O	O	O	
Pirrip	B-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
my	O	O	O	O	
Christian	O	O	O	O	
name	O	O	O	O	
Philip	B-PER	O	O	O	
,	O	O	O	O	
my	O	O	O	O	
infant	O	O	O	O	
tongue	O	O	O	O	
could	O	O	O	O	
make	O	O	O	O	
of	O	O	O	O	
both	O	O	O	O	
names	O	O	O	O	
nothing	O	O	O	O	
longer	O	O	O	O	
or	O	O	O	O	
more	O	O	O	O	
explicit	O	O	O	O	
than	O	O	O	O	
Pip	B-PER	O	O	O	
.	O	O	O	O	

So	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
called	O	O	O	O	
myself	O	O	O	O	
Pip	B-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
came	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
called	O	O	O	O	
Pip	B-PER	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
give	O	O	O	O	
Pirrip	B-PER	O	O	O	
as	O	O	O	O	
my	B-PER	O	O	O	
father	I-PER	O	O	O	
's	O	O	O	O	
family	O	O	O	O	
name	O	O	O	O	
,	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
authority	O	O	O	O	
of	O	O	O	O	
his	O	O	O	O	
tombstone	O	O	O	O	
and	O	O	O	O	
my	B-PER	O	O	O	
sister	I-PER	O	O	O	
,	O	O	O	O	
--	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	
Joe	O	I-PER	O	O	
Gargery	O	I-PER	O	O	
,	O	I-PER	O	O	
who	O	I-PER	O	O	
married	O	I-PER	O	O	
the	B-PER	I-PER	O	O	
blacksmith	I-PER	I-PER	O	O	
.	O	O	O	O	

As	O	O	O	O	
I	O	O	O	O	
never	O	O	O	O	
saw	O	O	O	O	
my	B-PER	O	O	O	
father	I-PER	O	O	O	
or	O	O	O	O	
my	O	O	O	O	
mother	B-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
never	O	O	O	O	
saw	O	O	O	O	
any	O	O	O	O	
likeness	O	O	O	O	
of	O	O	O	O	
either	O	O	O	O	
of	O	O	O	O	
them	O	O	O	O	
(	O	O	O	O	
for	O	O	O	O	
their	O	O	O	O	
days	O	O	O	O	
were	O	O	O	O	
long	O	O	O	O	
before	O	O	O	O	
the	O	O	O	O	
days	O	O	O	O	
of	O	O	O	O	
photographs	O	O	O	O	
)	O	O	O	O	
,	O	O	O	O	
my	O	O	O	O	
first	O	O	O	O	
fancies	O	O	O	O	
regarding	O	O	O	O	
what	O	O	O	O	
they	O	O	O	O	
were	O	O	O	O	
like	O	O	O	O	
were	O	O	O	O	
unreasonably	O	O	O	O	
derived	O	O	O	O	
from	O	O	O	O	
their	O	O	O	O	
tombstones	O	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
shape	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
letters	O	O	O	O	
on	O	O	O	O	
my	B-PER	O	O	O	
father	I-PER	O	O	O	
's	O	O	O	O	
,	O	O	O	O	
gave	O	O	O	O	
me	O	O	O	O	
an	O	O	O	O	
odd	O	O	O	O	
idea	O	O	O	O	
that	O	O	O	O	
he	O	O	O	O	
was	O	O	O	O	
a	B-PER	O	O	O	
square	I-PER	O	O	O	
,	I-PER	O	O	O	
stout	I-PER	O	O	O	
,	I-PER	O	O	O	
dark	I-PER	O	O	O	
man	I-PER	O	O	O	
,	I-PER	O	O	O	
with	I-PER	O	O	O	
curly	I-PER	O	O	O	
black	I-PER	O	O	O	
hair	I-PER	O	O	O	
.	O	O	O	O	

From	O	O	O	O	
the	O	O	O	O	
character	O	O	O	O	
and	O	O	O	O	
turn	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
inscription	O	O	O	O	
,	O	O	O	O	
“	O	O	O	O	
Also	O	O	O	O	
Georgiana	B-PER	O	O	O	
Wife	O	B-PER	O	O	
of	O	I-PER	O	O	
the	B-PER	I-PER	O	O	
Above	I-PER	I-PER	O	O	
,	O	O	O	O	
”	O	O	O	O	
I	O	O	O	O	
drew	O	O	O	O	
a	O	O	O	O	
childish	O	O	O	O	
conclusion	O	O	O	O	
that	O	O	O	O	
my	B-PER	O	O	O	
mother	I-PER	O	O	O	
was	O	O	O	O	
freckled	O	O	O	O	
and	O	O	O	O	
sickly	O	O	O	O	
.	O	O	O	O	

To	O	O	O	O	
five	O	O	O	O	
