I	O	O	O	O	
A	O	O	O	O	
green	O	O	O	O	
and	O	O	O	O	
yellow	O	O	O	O	
parrot	O	O	O	O	
,	O	O	O	O	
which	O	O	O	O	
hung	O	O	O	O	
in	O	O	O	O	
a	O	O	O	O	
cage	O	O	O	O	
outside	O	O	O	O	
the	O	O	O	O	
door	O	O	O	O	
,	O	O	O	O	
kept	O	O	O	O	
repeating	O	O	O	O	
over	O	O	O	O	
and	O	O	O	O	
over	O	O	O	O	
:	O	O	O	O	
“	O	O	O	O	
Allez	O	O	O	O	
vous-en	O	O	O	O	
!	O	O	O	O	

Allez	O	O	O	O	
vous-en	O	O	O	O	
!	O	O	O	O	

Sapristi	O	O	O	O	
!	O	O	O	O	

That	O	O	O	O	
's	O	O	O	O	
all	O	O	O	O	
right	O	O	O	O	
!	O	O	O	O	
”	O	O	O	O	

He	O	O	O	O	
could	O	O	O	O	
speak	O	O	O	O	
a	O	O	O	O	
little	O	O	O	O	
Spanish	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
also	O	O	O	O	
a	O	O	O	O	
language	O	O	O	O	
which	O	O	O	O	
nobody	B-PER	O	O	O	
understood	O	O	O	O	
,	O	O	O	O	
unless	O	O	O	O	
it	O	O	O	O	
was	O	O	O	O	
the	O	O	O	O	
mocking-bird	O	O	O	O	
that	O	O	O	O	
hung	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
other	O	O	O	O	
side	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
door	O	O	O	O	
,	O	O	O	O	
whistling	O	O	O	O	
his	O	O	O	O	
fluty	O	O	O	O	
notes	O	O	O	O	
out	O	O	O	O	
upon	O	O	O	O	
the	O	O	O	O	
breeze	O	O	O	O	
with	O	O	O	O	
maddening	O	O	O	O	
persistence	O	O	O	O	
.	O	O	O	O	

Mr.	B-PER	B-PER	O	O	
Pontellier	O	I-PER	O	O	
,	O	O	O	O	
unable	O	O	O	O	
to	O	O	O	O	
read	O	O	O	O	
his	O	O	O	O	
newspaper	O	O	O	O	
with	O	O	O	O	
any	O	O	O	O	
degree	O	O	O	O	
of	O	O	O	O	
comfort	O	O	O	O	
,	O	O	O	O	
arose	O	O	O	O	
with	O	O	O	O	
an	O	O	O	O	
expression	O	O	O	O	
and	O	O	O	O	
an	O	O	O	O	
exclamation	O	O	O	O	
of	O	O	O	O	
disgust	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
walked	O	O	O	O	
down	O	O	O	O	
the	B-FAC	O	O	O	
gallery	I-FAC	O	O	O	
and	O	O	O	O	
across	O	O	O	O	
the	O	B-FAC	O	O	
narrow	O	I-FAC	O	O	
“	O	I-FAC	O	O	
bridges	O	I-FAC	O	O	
”	O	I-FAC	O	O	
which	O	I-FAC	O	O	
connected	O	I-FAC	O	O	
the	B-FAC	I-FAC	O	O	
Lebrun	I-FAC	I-FAC	O	O	
cottages	I-FAC	I-FAC	O	O	
one	O	I-FAC	O	O	
with	O	I-FAC	O	O	
the	O	I-FAC	O	O	
other	O	I-FAC	O	O	
.	O	O	O	O	

He	O	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
seated	O	O	O	O	
before	O	O	O	O	
the	O	O	O	O	
door	O	O	O	O	
of	O	O	O	O	
the	B-FAC	O	O	O	
main	I-FAC	O	O	O	
house	I-FAC	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
parrot	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
mockingbird	O	O	O	O	
were	O	O	O	O	
the	O	O	O	O	
property	O	O	O	O	
of	O	O	O	O	
Madame	B-PER	B-PER	O	O	
Lebrun	O	I-PER	O	O	
,	O	O	O	O	
and	O	O	O	O	
they	O	O	O	O	
had	O	O	O	O	
the	O	O	O	O	
right	O	O	O	O	
to	O	O	O	O	
make	O	O	O	O	
all	O	O	O	O	
the	O	O	O	O	
noise	O	O	O	O	
they	O	O	O	O	
wished	O	O	O	O	
.	O	O	O	O	

Mr.	B-PER	B-PER	O	O	
Pontellier	O	I-PER	O	O	
had	O	O	O	O	
the	O	O	O	O	
privilege	O	O	O	O	
of	O	O	O	O	
quitting	O	O	O	O	
their	O	O	O	O	
society	O	O	O	O	
when	O	O	O	O	
they	O	O	O	O	
ceased	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
entertaining	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
stopped	O	O	O	O	
before	O	O	O	O	
the	O	O	O	O	
door	O	O	O	O	
of	O	O	O	O	
his	B-FAC	O	O	O	
own	I-FAC	O	O	O	
cottage	I-FAC	O	O	O	
,	O	O	O	O	
which	O	O	O	O	
was	O	O	O	O	
the	O	O	O	O	
fourth	O	O	O	O	
one	O	O	O	O	
from	O	O	O	O	
the	B-FAC	O	O	O	
main	I-FAC	O	O	O	
building	I-FAC	O	O	O	
and	O	O	O	O	
next	O	O	O	O	
to	O	O	O	O	
the	O	O	O	O	
last	O	O	O	O	
.	O	O	O	O	

Seating	O	O	O	O	
himself	O	O	O	O	
in	O	O	O	O	
a	O	O	O	O	
wicker	O	O	O	O	
rocker	O	O	O	O	
which	O	O	O	O	
was	O	O	O	O	
there	B-FAC	O	O	O	
,	O	O	O	O	
he	O	O	O	O	
once	O	O	O	O	
more	O	O	O	O	
applied	O	O	O	O	
himself	O	O	O	O	
to	O	O	O	O	
the	O	O	O	O	
