CHAPTER	O	O	O	O	
I	O	O	O	O	
When	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
a	B-PER	O	O	O	
small	I-PER	O	O	O	
boy	I-PER	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
beginning	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
century	O	O	O	O	
I	O	O	O	O	
remember	O	O	O	O	
an	O	O	B-PER	O	
old	O	O	I-PER	O	
man	O	O	I-PER	O	
who	O	O	I-PER	O	
wore	O	O	I-PER	O	
knee-breeches	O	O	I-PER	O	
and	O	O	I-PER	O	
worsted	O	O	I-PER	O	
stockings	O	O	I-PER	O	
,	O	O	I-PER	O	
and	O	O	I-PER	O	
who	O	O	I-PER	O	
used	O	O	I-PER	O	
to	O	O	I-PER	O	
hobble	O	O	I-PER	O	
about	O	O	I-PER	O	
the	O	B-FAC	I-PER	O	
street	O	I-FAC	I-PER	O	
of	O	I-FAC	I-PER	O	
our	B-GPE	I-FAC	I-PER	O	
village	I-GPE	I-FAC	I-PER	O	
with	O	O	I-PER	O	
the	O	O	I-PER	O	
help	O	O	I-PER	O	
of	O	O	I-PER	O	
a	O	O	I-PER	O	
stick	O	O	I-PER	O	
.	O	O	O	O	

He	O	O	O	O	
must	O	O	O	O	
have	O	O	O	O	
been	O	O	O	O	
getting	O	O	O	O	
on	O	O	O	O	
for	O	O	O	O	
eighty	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
year	O	O	O	O	
1807	O	O	O	O	
,	O	O	O	O	
earlier	O	O	O	O	
than	O	O	O	O	
which	O	O	O	O	
date	O	O	O	O	
I	O	O	O	O	
suppose	O	O	O	O	
I	O	O	O	O	
can	O	O	O	O	
hardly	O	O	O	O	
remember	O	O	O	O	
him	O	O	O	O	
,	O	O	O	O	
for	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
born	O	O	O	O	
in	O	O	O	O	
1802	O	O	O	O	
.	O	O	O	O	

A	O	O	O	O	
few	O	O	O	O	
white	O	O	O	O	
locks	O	O	O	O	
hung	O	O	O	O	
about	O	O	O	O	
his	O	O	O	O	
ears	O	O	O	O	
,	O	O	O	O	
his	O	O	O	O	
shoulders	O	O	O	O	
were	O	O	O	O	
bent	O	O	O	O	
and	O	O	O	O	
his	O	O	O	O	
knees	O	O	O	O	
feeble	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
he	O	O	O	O	
was	O	O	O	O	
still	O	O	O	O	
hale	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
was	O	O	O	O	
much	O	O	O	O	
respected	O	O	O	O	
in	O	O	O	O	
our	B-GPE	O	O	O	
little	I-GPE	O	O	O	
world	I-GPE	O	O	O	
of	I-GPE	O	O	O	
Paleham	I-GPE	O	O	O	
.	O	O	O	O	

His	O	O	O	O	
name	O	O	O	O	
was	O	O	O	O	
Pontifex	B-PER	O	O	O	
.	O	O	O	O	

His	B-PER	O	O	O	
wife	I-PER	O	O	O	
was	O	O	O	O	
said	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
his	B-PER	O	O	O	
master	I-PER	O	O	O	
;	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
been	O	O	O	O	
told	O	O	O	O	
she	O	O	O	O	
brought	O	O	O	O	
him	O	O	O	O	
a	O	O	O	O	
little	O	O	O	O	
money	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
it	O	O	O	O	
can	O	O	O	O	
not	O	O	O	O	
have	O	O	O	O	
been	O	O	O	O	
much	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
was	O	O	O	O	
a	O	O	B-PER	O	
tall	O	O	I-PER	O	
,	O	O	I-PER	O	
square-shouldered	O	O	I-PER	O	
person	O	O	I-PER	O	
(	O	O	I-PER	O	
I	O	O	I-PER	O	
have	O	O	I-PER	O	
heard	O	O	I-PER	O	
my	B-PER	O	I-PER	O	
father	I-PER	O	I-PER	O	
call	O	O	I-PER	O	
her	O	O	I-PER	O	
a	B-PER	O	I-PER	O	
Gothic	I-PER	O	I-PER	O	
woman	I-PER	O	I-PER	O	
)	O	O	I-PER	O	
who	O	O	I-PER	O	
had	O	O	I-PER	O	
insisted	O	O	I-PER	O	
on	O	O	I-PER	O	
being	O	O	I-PER	O	
married	O	O	I-PER	O	
to	O	O	I-PER	O	
Mr	B-PER	B-PER	I-PER	O	
Pontifex	O	I-PER	I-PER	O	
when	O	O	I-PER	O	
he	O	O	I-PER	O	
was	O	O	I-PER	O	
young	O	O	I-PER	O	
and	O	O	I-PER	O	
too	O	O	I-PER	O	
