CHAPTER	O	O	O	O	
I	O	O	O	O	
THE	B-PER	O	O	O	
SLAVE	I-PER	O	O	O	
'S	O	O	O	O	
SOCIAL	O	O	O	O	
CIRCLE	O	O	O	O	
.	O	O	O	O	

With	O	O	O	O	
the	O	O	O	O	
growing	O	O	O	O	
population	O	O	O	O	
in	O	O	O	O	
the	B-GPE	O	O	O	
Southern	I-GPE	O	O	O	
States	I-GPE	O	O	O	
,	O	O	O	O	
the	O	O	O	O	
increase	O	O	O	O	
of	O	O	O	O	
mulattoes	B-PER	O	O	O	
has	O	O	O	O	
been	O	O	O	O	
very	O	O	O	O	
great	O	O	O	O	
.	O	O	O	O	

Society	O	O	O	O	
does	O	O	O	O	
not	O	O	O	O	
frown	O	O	O	O	
upon	O	O	O	O	
the	O	B-PER	O	O	
man	O	I-PER	O	O	
who	O	I-PER	O	O	
sits	O	I-PER	O	O	
with	O	I-PER	O	O	
his	B-PER	I-PER	O	O	
half-white	I-PER	I-PER	O	O	
child	I-PER	I-PER	O	O	
upon	O	I-PER	O	O	
his	O	I-PER	O	O	
knee	O	I-PER	O	O	
whilst	O	I-PER	O	O	
the	B-PER	I-PER	O	O	
mother	I-PER	I-PER	O	O	
stands	O	I-PER	O	O	
,	O	I-PER	O	O	
a	B-PER	I-PER	O	O	
slave	I-PER	I-PER	O	O	
,	O	I-PER	O	O	
behind	O	I-PER	O	O	
his	O	I-PER	O	O	
chair	O	I-PER	O	O	
.	O	O	O	O	

In	O	O	O	O	
nearly	O	B-GPE	O	O	
all	O	I-GPE	O	O	
the	O	I-GPE	O	O	
cities	O	I-GPE	O	O	
and	O	I-GPE	O	O	
towns	O	I-GPE	O	O	
of	O	I-GPE	O	O	
the	B-GPE	I-GPE	O	O	
Slave	I-GPE	I-GPE	O	O	
States	I-GPE	I-GPE	O	O	
,	O	O	O	O	
the	B-PER	O	O	O	
real	I-PER	O	O	O	
negro	I-PER	O	O	O	
,	O	O	O	O	
or	O	O	O	O	
clear	B-PER	O	O	O	
black	I-PER	O	O	O	
,	O	O	O	O	
does	O	O	O	O	
not	O	O	O	O	
amount	O	O	O	O	
to	O	O	O	O	
more	O	O	O	O	
than	O	O	O	O	
one	O	O	O	O	
in	O	O	O	O	
four	O	O	O	O	
of	O	O	O	O	
the	B-PER	O	O	O	
slave	I-PER	O	O	O	
population	I-PER	O	O	O	
.	O	O	O	O	

This	O	O	O	O	
fact	O	O	O	O	
is	O	O	O	O	
of	O	O	O	O	
itself	O	O	O	O	
the	O	O	O	O	
best	O	O	O	O	
evidence	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
degraded	O	O	O	O	
and	O	O	O	O	
immoral	O	O	O	O	
condition	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
relation	O	O	O	O	
of	O	O	O	O	
master	B-PER	O	O	O	
and	O	O	O	O	
slave	B-PER	O	O	O	
.	O	O	O	O	

Throughout	O	O	O	O	
the	B-GPE	O	O	O	
Southern	I-GPE	O	O	O	
States	I-GPE	O	O	O	
,	O	O	O	O	
there	O	O	O	O	
is	O	O	O	O	
a	O	O	O	O	
class	O	O	O	O	
of	O	O	O	O	
slaves	B-PER	O	O	O	
who	O	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
most	O	B-GPE	O	O	
of	O	I-GPE	O	O	
the	B-GPE	I-GPE	O	O	
towns	I-GPE	I-GPE	O	O	
,	O	O	O	O	
are	O	O	O	O	
permitted	O	O	O	O	
to	O	O	O	O	
hire	O	O	O	O	
their	O	O	O	O	
time	O	O	O	O	
from	O	O	O	O	
their	B-PER	O	O	O	
owners	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
who	O	O	O	O	
are	O	O	O	O	
always	O	O	O	O	
expected	O	O	O	O	
to	O	O	O	O	
pay	O	O	O	O	
a	O	O	O	O	
high	O	O	O	O	
price	O	O	O	O	
.	O	O	O	O	

This	O	O	O	O	
class	O	O	O	O	
is	O	O	O	O	
the	B-PER	O	O	O	
mulatto	I-PER	O	O	O	
women	I-PER	O	O	O	
,	O	O	O	O	
distinguished	O	O	O	O	
for	O	O	O	O	
their	O	O	O	O	
fascinating	O	O	O	O	
beauty	O	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
handsomest	O	O	O	O	
of	O	O	O	O	
these	O	O	O	O	
usually	O	O	O	O	
pay	O	O	O	O	
the	O	O	O	O	
greatest	O	O	O	O	
amount	O	O	O	O	
for	O	O	O	O	
their	O	O	O	O	
time	O	O	O	O	
.	O	O	O	O	

Many	O	B-PER	O	O	
