PART	O	O	O	O	
ONE	O	O	O	O	
CHAPTER	O	O	O	O	
I	O	O	O	O	
THE	O	O	O	O	
EARLY	O	O	O	O	
MARRIED	O	O	O	O	
LIFE	O	O	O	O	
OF	O	O	O	O	
THE	B-PER	O	O	O	
MORELS	I-PER	O	O	O	
“	O	O	O	O	
THE	B-FAC	O	O	O	
BOTTOMS	I-FAC	O	O	O	
”	O	O	O	O	
succeeded	O	O	O	O	
to	O	O	O	O	
“	O	O	O	O	
Hell	B-FAC	O	O	O	
Row	I-FAC	O	O	O	
”	O	O	O	O	
.	O	O	O	O	

Hell	B-FAC	O	O	O	
Row	I-FAC	O	O	O	
was	O	O	O	O	
a	O	O	B-FAC	O	
block	O	O	I-FAC	O	
of	O	O	I-FAC	O	
thatched	O	B-FAC	I-FAC	O	
,	O	I-FAC	I-FAC	O	
bulging	O	I-FAC	I-FAC	O	
cottages	O	I-FAC	I-FAC	O	
that	O	I-FAC	I-FAC	O	
stood	O	I-FAC	I-FAC	O	
by	O	I-FAC	I-FAC	O	
the	B-LOC	I-FAC	I-FAC	O	
brookside	I-LOC	I-FAC	I-FAC	O	
on	O	I-FAC	I-FAC	O	
Greenhill	B-FAC	I-FAC	I-FAC	O	
Lane	I-FAC	I-FAC	I-FAC	O	
.	O	O	O	O	

There	B-FAC	O	O	O	
lived	O	O	O	O	
the	O	B-PER	O	O	
colliers	O	I-PER	O	O	
who	O	I-PER	O	O	
worked	O	I-PER	O	O	
in	O	I-PER	O	O	
the	B-FAC	I-PER	O	O	
little	I-FAC	I-PER	O	O	
gin-pits	I-FAC	I-PER	O	O	
two	I-FAC	I-PER	O	O	
fields	I-FAC	I-PER	O	O	
away	I-FAC	I-PER	O	O	
.	O	O	O	O	

The	B-LOC	O	O	O	
brook	I-LOC	O	O	O	
ran	O	O	O	O	
under	O	O	O	O	
the	O	O	O	O	
alder	O	O	O	O	
trees	O	O	O	O	
,	O	O	O	O	
scarcely	O	O	O	O	
soiled	O	O	O	O	
by	O	O	O	O	
these	O	B-FAC	O	O	
small	O	I-FAC	O	O	
mines	O	I-FAC	O	O	
,	O	I-FAC	O	O	
whose	O	I-FAC	O	O	
coal	O	I-FAC	O	O	
was	O	I-FAC	O	O	
drawn	O	I-FAC	O	O	
to	O	I-FAC	O	O	
the	O	I-FAC	O	O	
surface	O	I-FAC	O	O	
by	O	I-FAC	O	O	
donkeys	O	I-FAC	O	O	
that	O	I-FAC	O	O	
plodded	O	I-FAC	O	O	
wearily	O	I-FAC	O	O	
in	O	I-FAC	O	O	
a	O	I-FAC	O	O	
circle	O	I-FAC	O	O	
round	O	I-FAC	O	O	
a	B-FAC	I-FAC	O	O	
gin	I-FAC	I-FAC	O	O	
.	O	O	O	O	

And	O	O	O	O	
all	O	O	O	O	
over	O	O	O	O	
the	B-LOC	O	O	O	
countryside	I-LOC	O	O	O	
were	O	O	O	O	
these	B-FAC	O	O	O	
same	I-FAC	O	O	O	
pits	I-FAC	O	O	O	
,	O	O	O	O	
some	O	O	O	O	
of	O	O	O	O	
which	O	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
worked	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
time	O	O	O	O	
of	O	O	O	O	
Charles	B-PER	O	O	O	
II	I-PER	O	O	O	
,	O	O	O	O	
the	B-PER	O	O	O	
few	I-PER	O	O	O	
colliers	I-PER	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
donkeys	O	O	O	O	
burrowing	O	O	O	O	
down	O	O	O	O	
like	O	O	O	O	
ants	O	O	O	O	
into	O	O	O	O	
the	B-LOC	O	O	O	
earth	I-LOC	O	O	O	
,	O	O	O	O	
making	O	O	O	O	
queer	O	O	O	O	
mounds	O	O	O	O	
and	O	O	O	O	
little	O	O	O	O	
black	O	O	O	O	
places	O	O	O	O	
among	O	O	O	O	
the	B-LOC	O	O	O	
corn-fields	I-LOC	O	O	O	
and	O	O	O	O	
the	B-LOC	O	O	O	
meadows	I-LOC	O	O	O	
.	O	O	O	O	

And	O	O	O	O	
the	B-FAC	O	O	O	
cottages	I-FAC	O	O	O	
of	O	O	O	O	
these	B-PER	O	O	O	
coal-miners	I-PER	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
blocks	O	O	O	O	
and	O	O	O	O	
pairs	O	O	O	O	
here	O	O	O	O	
and	O	O	O	O	
there	O	O	O	O	
,	O	O	O	O	
together	O	O	O	O	
with	O	O	O	O	
odd	O	B-FAC	O	O	
farms	O	I-FAC	O	O	
and	O	I-FAC	O	O	
homes	O	I-FAC	O	O	
of	O	I-FAC	O	O	
the	B-PER	I-FAC	O	O	
stockingers	I-PER	I-FAC	O	O	
,	O	I-FAC	O	O	
straying	O	I-FAC	O	O	
over	O	I-FAC	O	O	
the	B-FAC	I-FAC	O	O	
parish	I-FAC	I-FAC	O	O	
,	O	O	O	O	
formed	O	O	O	O	
the	B-GPE	O	O	O	
village	I-GPE	O	O	O	
of	I-GPE	O	O	O	
Bestwood	I-GPE	O	O	O	
.	O	O	O	O	

Then	O	O	O	O	
,	O	O	O	O	
some	O	O	O	O	
sixty	O	O	O	O	
years	O	O	O	O	
ago	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
sudden	O	O	O	O	
change	O	O	O	O	
