Chapter	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

THE	O	O	O	O	
MAGNET	O	O	O	O	
ATTRACTING	O	O	O	O	
--	O	O	O	O	
A	B-PER	O	O	O	
WAIF	I-PER	O	O	O	
AMID	O	O	O	O	
FORCES	O	O	O	O	
When	O	O	O	O	
Caroline	B-PER	O	O	O	
Meeber	I-PER	O	O	O	
boarded	O	O	O	O	
the	B-VEH	O	O	O	
afternoon	I-VEH	O	O	O	
train	I-VEH	O	O	O	
for	O	O	O	O	
Chicago	B-GPE	O	O	O	
,	O	O	O	O	
her	O	O	O	O	
total	O	O	O	O	
outfit	O	O	O	O	
consisted	O	O	O	O	
of	O	O	O	O	
a	O	O	O	O	
small	O	O	O	O	
trunk	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
cheap	O	O	O	O	
imitation	O	O	O	O	
alligator-skin	O	O	O	O	
satchel	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
small	O	O	O	O	
lunch	O	O	O	O	
in	O	O	O	O	
a	O	O	O	O	
paper	O	O	O	O	
box	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
yellow	O	O	O	O	
leather	O	O	O	O	
snap	O	O	O	O	
purse	O	O	O	O	
,	O	O	O	O	
containing	O	O	O	O	
her	O	O	O	O	
ticket	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
scrap	O	O	O	O	
of	O	O	O	O	
paper	O	O	O	O	
with	O	O	O	O	
her	B-PER	O	O	O	
sister	I-PER	O	O	O	
's	O	O	O	O	
address	O	O	O	O	
in	O	O	O	O	
Van	B-FAC	O	O	O	
Buren	I-FAC	O	O	O	
Street	I-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
four	O	O	O	O	
dollars	O	O	O	O	
in	O	O	O	O	
money	O	O	O	O	
.	O	O	O	O	

It	O	O	O	O	
was	O	O	O	O	
in	O	O	O	O	
August	O	O	O	O	
,	O	O	O	O	
1889	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
was	O	O	O	O	
eighteen	O	O	O	O	
years	O	O	O	O	
of	O	O	O	O	
age	O	O	O	O	
,	O	O	O	O	
bright	O	O	O	O	
,	O	O	O	O	
timid	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
full	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
illusions	O	O	O	O	
of	O	O	O	O	
ignorance	O	O	O	O	
and	O	O	O	O	
youth	O	O	O	O	
.	O	O	O	O	

Whatever	O	O	O	O	
touch	O	O	O	O	
of	O	O	O	O	
regret	O	O	O	O	
at	O	O	O	O	
parting	O	O	O	O	
characterised	O	O	O	O	
her	O	O	O	O	
thoughts	O	O	O	O	
,	O	O	O	O	
it	O	O	O	O	
was	O	O	O	O	
certainly	O	O	O	O	
not	O	O	O	O	
for	O	O	O	O	
advantages	O	O	O	O	
now	O	O	O	O	
being	O	O	O	O	
given	O	O	O	O	
up	O	O	O	O	
.	O	O	O	O	

A	O	O	O	O	
gush	O	O	O	O	
of	O	O	O	O	
tears	O	O	O	O	
at	O	O	O	O	
her	B-PER	O	O	O	
mother	I-PER	O	O	O	
's	O	O	O	O	
farewell	O	O	O	O	
kiss	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
touch	O	O	O	O	
in	O	O	O	O	
her	O	O	O	O	
throat	O	O	O	O	
when	O	O	O	O	
the	B-VEH	O	O	O	
cars	I-VEH	O	O	O	
clacked	O	O	O	O	
by	O	O	O	O	
the	O	B-FAC	O	O	
flour	O	I-FAC	O	O	
mill	O	I-FAC	O	O	
where	O	I-FAC	O	O	
her	B-PER	I-FAC	O	O	
father	I-PER	I-FAC	O	O	
worked	O	I-FAC	O	O	
by	O	I-FAC	O	O	
the	O	I-FAC	O	O	
day	O	I-FAC	O	O	
,	O	O	O	O	
a	O	O	O	O	
pathetic	O	O	O	O	
sigh	O	O	O	O	
as	O	O	O	O	
the	O	O	O	O	
familiar	O	O	O	O	
green	O	O	O	O	
environs	O	O	O	O	
of	O	O	O	O	
the	B-GPE	O	O	O	
village	I-GPE	O	O	O	
passed	O	O	O	O	
in	O	O	O	O	
review	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
threads	O	O	O	O	
which	O	O	O	O	
bound	O	O	O	O	
her	O	O	O	O	
so	O	O	O	O	
lightly	O	O	O	O	
to	O	O	O	O	
girlhood	O	O	O	O	
and	O	O	O	O	
home	B-FAC	O	O	O	
were	O	O	O	O	
irretrievably	O	O	O	O	
broken	O	O	O	O	
