PART	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

The	B-LOC	O	O	O	
Wild	I-LOC	O	O	O	
Land	I-LOC	O	O	O	
I	O	O	O	O	
One	O	O	O	O	
January	O	O	O	O	
day	O	O	O	O	
,	O	O	O	O	
thirty	O	O	O	O	
years	O	O	O	O	
ago	O	O	O	O	
,	O	O	O	O	
the	B-GPE	O	O	O	
little	I-GPE	O	O	O	
town	I-GPE	O	O	O	
of	I-GPE	O	O	O	
Hanover	I-GPE	O	O	O	
,	O	O	O	O	
anchored	O	O	O	O	
on	O	O	O	O	
a	O	B-LOC	O	O	
windy	O	I-LOC	O	O	
Nebraska	B-GPE	I-LOC	O	O	
tableland	O	I-LOC	O	O	
,	O	O	O	O	
was	O	O	O	O	
trying	O	O	O	O	
not	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
blown	O	O	O	O	
away	O	O	O	O	
.	O	O	O	O	

A	O	O	O	O	
mist	O	O	O	O	
of	O	O	O	O	
fine	O	O	O	O	
snowflakes	O	O	O	O	
was	O	O	O	O	
curling	O	O	O	O	
and	O	O	O	O	
eddying	O	O	O	O	
about	O	O	O	O	
the	O	O	O	O	
cluster	O	O	O	O	
of	O	O	O	O	
low	B-FAC	O	O	O	
drab	I-FAC	O	O	O	
buildings	I-FAC	O	O	O	
huddled	O	O	O	O	
on	O	O	O	O	
the	B-LOC	O	O	O	
gray	I-LOC	O	O	O	
prairie	I-LOC	O	O	O	
,	O	O	O	O	
under	O	O	O	O	
a	O	O	O	O	
gray	O	O	O	O	
sky	O	O	O	O	
.	O	O	O	O	

The	B-FAC	O	O	O	
dwelling-houses	I-FAC	O	O	O	
were	O	O	O	O	
set	O	O	O	O	
about	O	O	O	O	
haphazard	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
tough	O	O	O	O	
prairie	O	O	O	O	
sod	O	O	O	O	
;	O	O	O	O	
some	O	O	O	O	
of	O	O	O	O	
them	O	O	O	O	
looked	O	O	O	O	
as	O	O	O	O	
if	O	O	O	O	
they	O	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
moved	O	O	O	O	
in	O	O	O	O	
overnight	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
others	O	O	O	O	
as	O	O	O	O	
if	O	O	O	O	
they	O	O	O	O	
were	O	O	O	O	
straying	O	O	O	O	
off	O	O	O	O	
by	O	O	O	O	
themselves	O	O	O	O	
,	O	O	O	O	
headed	O	O	O	O	
straight	O	O	O	O	
for	O	O	O	O	
the	B-LOC	O	O	O	
open	I-LOC	O	O	O	
plain	I-LOC	O	O	O	
.	O	O	O	O	

None	O	O	O	O	
of	O	O	O	O	
them	O	O	O	O	
had	O	O	O	O	
any	O	O	O	O	
appearance	O	O	O	O	
of	O	O	O	O	
permanence	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
howling	O	O	O	O	
wind	O	O	O	O	
blew	O	O	O	O	
under	O	O	O	O	
them	O	O	O	O	
as	O	O	O	O	
well	O	O	O	O	
as	O	O	O	O	
over	O	O	O	O	
them	O	O	O	O	
.	O	O	O	O	

The	B-FAC	O	O	O	
main	I-FAC	O	O	O	
street	I-FAC	O	O	O	
was	O	O	O	O	
a	O	O	B-FAC	O	
deeply	O	O	I-FAC	O	
rutted	O	O	I-FAC	O	
road	O	O	I-FAC	O	
,	O	O	I-FAC	O	
now	O	O	I-FAC	O	
frozen	O	O	I-FAC	O	
hard	O	O	I-FAC	O	
,	O	O	I-FAC	O	
which	O	O	I-FAC	O	
ran	O	O	I-FAC	O	
from	O	O	I-FAC	O	
the	B-FAC	O	I-FAC	O	
squat	I-FAC	O	I-FAC	O	
red	I-FAC	O	I-FAC	O	
railway	I-FAC	O	I-FAC	O	
station	I-FAC	O	I-FAC	O	
and	O	O	I-FAC	O	
the	B-FAC	O	I-FAC	O	
grain	I-FAC	O	I-FAC	O	
“	I-FAC	O	I-FAC	O	
elevator	I-FAC	O	I-FAC	O	
”	I-FAC	O	I-FAC	O	
at	O	O	I-FAC	O	
the	O	B-LOC	I-FAC	O	
north	O	I-LOC	I-FAC	O	
end	O	I-LOC	I-FAC	O	
of	O	I-LOC	I-FAC	O	
the	B-GPE	I-LOC	I-FAC	O	
town	I-GPE	I-LOC	I-FAC	O	
to	O	O	I-FAC	O	
the	B-FAC	O	I-FAC	O	
lumber	I-FAC	O	I-FAC	O	
yard	I-FAC	O	I-FAC	O	
and	O	O	I-FAC	O	
the	B-LOC	O	I-FAC	O	
horse	I-LOC	O	I-FAC	O	
pond	I-LOC	O	I-FAC	O	
at	O	O	I-FAC	O	
the	B-LOC	O	I-FAC	O	
south	I-LOC	O	I-FAC	O	
end	I-LOC	O	I-FAC	O	
.	O	O	O	O	

On	O	O	O	O	
either	O	O	O	O	
side	O	O	O	O	
of	O	O	O	O	
this	B-FAC	O	O	O	
road	I-FAC	O	O	O	
straggled	O	O	O	O	
two	O	O	O	O	
uneven	O	O	O	O	
rows	O	O	O	O	
of	O	O	O	O	
wooden	B-FAC	O	O	O	
buildings	I-FAC	O	O	O	
;	O	O	O	O	
the	B-FAC	O	O	O	
general	I-FAC	O	O	O	
merchandise	I-FAC	O	O	O	
stores	I-FAC	O	O	O	
,	O	O	O	O	
the	B-FAC	O	O	O	
two	I-FAC	O	O	O	
banks	I-FAC	O	O	O	
,	O	O	O	O	
the	B-FAC	O	O	O	
drug	I-FAC	O	O	O	
store	I-FAC	O	O	O	
,	O	O	O	O	
the	B-FAC	O	O	O	
feed	I-FAC	O	O	O	
store	I-FAC	O	O	O	
,	O	O	O	O	
the	B-FAC	O	O	O	
saloon	I-FAC	O	O	O	
,	O	O	O	O	
the	B-FAC	O	O	O	
post-office	I-FAC	O	O	O	
.	O	O	O	O	

The	B-FAC	O	O	O	
board	I-FAC	O	O	O	
sidewalks	I-FAC	O	O	O	
were	O	O	O	O	
gray	O	O	O	O	
with	O	O	O	O	
trampled	O	O	O	O	
snow	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
at	O	O	O	O	
two	O	O	O	O	
o'clock	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
afternoon	O	O	O	O	
the	B-PER	O	O	O	
shopkeepers	I-PER	O	O	O	
,	O	O	O	O	
having	O	O	O	O	
come	O	O	O	O	
back	O	O	O	O	
from	O	O	O	O	
dinner	O	O	O	O	
,	O	O	O	O	
were	O	O	O	O	
keeping	O	O	O	O	
well	O	O	O	O	
behind	O	O	O	O	
their	O	O	O	O	
frosty	O	O	O	O	
windows	O	O	O	O	
.	O	O	O	O	

The	B-PER	O	O	O	
children	I-PER	O	O	O	
were	O	O	O	O	
all	O	O	O	O	
in	O	O	O	O	
school	B-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
there	O	O	O	O	
was	O	O	O	O	
nobody	B-PER	O	O	O	
abroad	O	O	O	O	
in	O	O	O	O	
the	B-FAC	O	O	O	
streets	I-FAC	O	O	O	
but	O	O	O	O	
a	B-PER	O	O	O	
few	I-PER	O	O	O	
rough-looking	I-PER	O	O	O	
countrymen	I-PER	O	O	O	
in	I-PER	O	O	O	
coarse	I-PER	O	O	O	
overcoats	I-PER	O	O	O	
,	O	O	O	O	
with	O	O	O	O	
their	O	O	O	O	
long	O	O	O	O	
caps	O	O	O	O	
pulled	O	O	O	O	
down	O	O	O	O	
to	O	O	O	O	
their	O	O	O	O	
noses	O	O	O	O	
.	O	O	O	O	

Some	O	O	O	O	
of	O	O	O	O	
them	O	O	O	O	
had	O	O	O	O	
brought	O	O	O	O	
their	B-PER	O	O	O	
wives	I-PER	O	O	O	
to	O	O	O	O	
town	B-GPE	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
