PART	O	O	O	O	
ONE	O	O	O	O	
Chapter	O	O	O	O	
I	O	O	O	O	
:	O	O	O	O	
The	B-FAC	O	O	O	
Bertolini	I-FAC	O	O	O	
“	O	O	O	O	
The	B-PER	O	O	O	
Signora	I-PER	O	O	O	
had	O	O	O	O	
no	O	O	O	O	
business	O	O	O	O	
to	O	O	O	O	
do	O	O	O	O	
it	O	O	O	O	
,	O	O	O	O	
”	O	O	O	O	
said	O	O	O	O	
Miss	B-PER	B-PER	O	O	
Bartlett	O	I-PER	O	O	
,	O	O	O	O	
“	O	O	O	O	
no	O	O	O	O	
business	O	O	O	O	
at	O	O	O	O	
all	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
promised	O	O	O	O	
us	O	O	O	O	
south	B-FAC	O	O	O	
rooms	I-FAC	O	O	O	
with	I-FAC	O	O	O	
a	I-FAC	O	O	O	
view	I-FAC	O	O	O	
close	I-FAC	O	O	O	
together	I-FAC	O	O	O	
,	O	O	O	O	
instead	O	O	O	O	
of	O	O	O	O	
which	O	O	O	O	
here	B-FAC	O	O	O	
are	O	O	O	O	
north	O	B-FAC	O	O	
rooms	O	I-FAC	O	O	
,	O	I-FAC	O	O	
looking	O	I-FAC	O	O	
into	O	I-FAC	O	O	
a	B-FAC	I-FAC	O	O	
courtyard	I-FAC	I-FAC	O	O	
,	O	I-FAC	O	O	
and	O	I-FAC	O	O	
a	O	I-FAC	O	O	
long	O	I-FAC	O	O	
way	O	I-FAC	O	O	
apart	O	I-FAC	O	O	
.	O	O	O	O	

Oh	O	O	O	O	
,	O	O	O	O	
Lucy	O	O	O	O	
!	O	O	O	O	
”	O	O	O	O	

“	O	O	O	O	
And	O	O	O	O	
a	B-PER	O	O	O	
Cockney	I-PER	O	O	O	
,	O	O	O	O	
besides	O	O	O	O	
!	O	O	O	O	
”	O	O	O	O	

said	O	O	O	O	
Lucy	B-PER	O	O	O	
,	O	O	O	O	
who	O	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
further	O	O	O	O	
saddened	O	O	O	O	
by	O	O	O	O	
the	B-PER	O	O	O	
Signora	I-PER	O	O	O	
’s	O	O	O	O	
unexpected	O	O	O	O	
accent	O	O	O	O	
.	O	O	O	O	

“	O	O	O	O	
It	O	O	O	O	
might	O	O	O	O	
be	O	O	O	O	
London	B-GPE	O	O	O	
.	O	O	O	O	
”	O	O	O	O	

She	O	O	O	O	
looked	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
two	O	O	O	O	
rows	O	O	O	O	
of	O	O	O	O	
English	B-PER	O	O	O	
people	I-PER	O	O	O	
who	O	O	O	O	
were	O	O	O	O	
sitting	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
table	O	O	O	O	
;	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
row	O	O	O	O	
of	O	O	O	O	
white	O	O	O	O	
bottles	O	O	O	O	
of	O	O	O	O	
water	O	O	O	O	
and	O	O	O	O	
red	O	O	O	O	
bottles	O	O	O	O	
of	O	O	O	O	
wine	O	O	O	O	
that	O	O	O	O	
ran	O	O	O	O	
between	O	O	O	O	
the	B-PER	O	O	O	
English	I-PER	O	O	O	
people	I-PER	O	O	O	
;	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
portraits	O	O	O	O	
of	O	O	O	O	
the	B-PER	O	O	O	
late	I-PER	O	O	O	
Queen	I-PER	O	O	O	
and	O	O	O	O	
the	B-PER	O	O	O	
late	I-PER	O	O	O	
Poet	I-PER	O	O	O	
Laureate	I-PER	O	O	O	
that	O	O	O	O	
hung	O	O	O	O	
behind	O	O	O	O	
the	B-PER	O	O	O	
English	I-PER	O	O	O	
people	I-PER	O	O	O	
,	O	O	O	O	
heavily	O	O	O	O	
framed	O	O	O	O	
;	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
notice	O	O	O	O	
of	O	O	O	O	
the	B-ORG	O	O	O	
English	I-ORG	O	O	O	
church	I-ORG	O	O	O	
(	O	O	O	O	
Rev.	B-PER	O	O	O	
Cuthbert	I-PER	O	O	O	
Eager	I-PER	O	O	O	
,	O	O	O	O	
M.	O	O	O	O	
A.	O	O	O	O	
Oxon	B-ORG	O	O	O	
.	O	O	O	O	
)	O	O	O	O	

,	O	O	O	O	
that	O	O	O	O	
was	O	O	O	O	
the	O	O	O	O	
only	O	O	O	O	
other	O	O	O	O	
decoration	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
wall	O	O	O	O	
.	O	O	O	O	

“	O	O	O	O	
Charlotte	B-PER	O	O	O	
,	O	O	O	O	
do	O	O	O	O	
n’t	O	O	O	O	
you	O	O	O	O	
feel	O	O	O	O	
,	O	O	O	O	
too	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
we	O	O	O	O	
might	O	O	O	O	
be	O	O	O	O	
in	O	O	O	O	
London	B-GPE	O	O	O	
?	O	O	O	O	

I	O	O	O	O	
can	O	O	O	O	
hardly	O	O	O	O	
believe	O	O	O	O	
that	O	O	O	O	
all	O	O	O	O	
kinds	O	O	O	O	
of	O	O	O	O	
other	O	O	O	O	
things	O	O	O	O	
are	O	O	O	O	
just	O	O	O	O	
outside	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
suppose	O	O	O	O	
