Part	O	O	O	O	
I	O	O	O	O	
01	O	O	O	O	
My	O	O	O	O	
Early	O	O	O	O	
Home	O	O	O	O	
The	B-LOC	O	O	O	
first	I-LOC	O	O	O	
place	I-LOC	O	O	O	
that	I-LOC	O	O	O	
I	I-LOC	O	O	O	
can	I-LOC	O	O	O	
well	I-LOC	O	O	O	
remember	I-LOC	O	O	O	
was	O	O	O	O	
a	O	B-LOC	O	O	
large	O	I-LOC	O	O	
pleasant	O	I-LOC	O	O	
meadow	O	I-LOC	O	O	
with	O	I-LOC	O	O	
a	B-LOC	I-LOC	O	O	
pond	I-LOC	I-LOC	O	O	
of	I-LOC	I-LOC	O	O	
clear	I-LOC	I-LOC	O	O	
water	I-LOC	I-LOC	O	O	
in	I-LOC	I-LOC	O	O	
it	I-LOC	I-LOC	O	O	
.	O	O	O	O	

Some	O	O	O	O	
shady	O	O	O	O	
trees	O	O	O	O	
leaned	O	O	O	O	
over	O	O	O	O	
it	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
rushes	O	O	O	O	
and	O	O	O	O	
water-lilies	O	O	O	O	
grew	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
deep	O	O	O	O	
end	O	O	O	O	
.	O	O	O	O	

Over	O	O	O	O	
the	O	O	O	O	
hedge	O	O	O	O	
on	O	O	O	O	
one	O	O	O	O	
side	O	O	O	O	
we	O	O	O	O	
looked	O	O	O	O	
into	O	O	O	O	
a	B-FAC	O	O	O	
plowed	I-FAC	O	O	O	
field	I-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
other	O	O	O	O	
we	O	O	O	O	
looked	O	O	O	O	
over	O	O	O	O	
a	O	O	O	O	
gate	O	O	O	O	
at	O	O	O	O	
our	B-FAC	O	O	O	
master	I-FAC	O	O	O	
’s	I-FAC	O	O	O	
house	I-FAC	O	O	O	
,	I-FAC	O	O	O	
which	I-FAC	O	O	O	
stood	I-FAC	O	O	O	
by	I-FAC	O	O	O	
the	I-FAC	O	O	O	
roadside	I-FAC	O	O	O	
;	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
top	O	O	O	O	
of	O	O	O	O	
the	B-LOC	O	O	O	
meadow	I-LOC	O	O	O	
was	O	O	O	O	
a	B-LOC	O	O	O	
grove	I-LOC	O	O	O	
of	I-LOC	O	O	O	
fir	I-LOC	O	O	O	
trees	I-LOC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
at	O	O	O	O	
the	O	O	O	O	
bottom	O	O	O	O	
a	B-LOC	O	O	O	
running	I-LOC	O	O	O	
brook	I-LOC	O	O	O	
overhung	I-LOC	O	O	O	
by	I-LOC	O	O	O	
a	I-LOC	O	O	O	
steep	I-LOC	O	O	O	
bank	I-LOC	O	O	O	
.	O	O	O	O	

While	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
young	O	O	O	O	
I	O	O	O	O	
lived	O	O	O	O	
upon	O	O	O	O	
my	B-PER	O	O	O	
mother	I-PER	O	O	O	
’s	O	O	O	O	
milk	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
could	O	O	O	O	
not	O	O	O	O	
eat	O	O	O	O	
grass	O	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
the	O	O	O	O	
daytime	O	O	O	O	
I	O	O	O	O	
ran	O	O	O	O	
by	O	O	O	O	
her	O	O	O	O	
side	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
at	O	O	O	O	
night	O	O	O	O	
I	O	O	O	O	
lay	O	O	O	O	
down	O	O	O	O	
close	O	O	O	O	
by	O	O	O	O	
her	O	O	O	O	
.	O	O	O	O	

When	O	O	O	O	
it	O	O	O	O	
was	O	O	O	O	
hot	O	O	O	O	
we	O	O	O	O	
used	O	O	O	O	
to	O	O	O	O	
stand	O	O	O	O	
by	O	O	O	O	
the	B-LOC	O	O	O	
pond	I-LOC	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
shade	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
trees	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
when	O	O	O	O	
it	O	O	O	O	
was	O	O	O	O	
cold	O	O	O	O	
we	O	O	O	O	
had	O	O	O	O	
a	O	B-FAC	O	O	
nice	O	I-FAC	O	O	
warm	O	I-FAC	O	O	
shed	O	I-FAC	O	O	
near	O	I-FAC	O	O	
the	B-LOC	I-FAC	O	O	
grove	I-LOC	I-FAC	O	O	
.	O	O	O	O	

As	O	O	O	O	
soon	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
old	O	O	O	O	
enough	O	O	O	O	
to	O	O	O	O	
eat	O	O	O	O	
grass	O	O	O	O	
my	B-PER	O	O	O	
mother	I-PER	O	O	O	
used	O	O	O	O	
to	O	O	O	O	
go	O	O	O	O	
out	O	O	O	O	
to	O	O	O	O	
work	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
daytime	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
come	O	O	O	O	
back	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
evening	O	O	O	O	
.	O	O	O	O	

There	O	O	O	O	
were	O	O	O	O	
six	B-PER	O	O	O	
young	I-PER	O	O	O	
colts	I-PER	O	O	O	
in	O	O	O	O	
the	B-LOC	O	O	O	
meadow	I-LOC	O	O	O	
besides	O	O	O	O	
me	O	O	O	O	
;	O	O	O	O	
they	O	O	O	O	
were	O	O	O	O	
older	O	O	O	O	
than	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
;	O	O	O	O	
some	O	O	O	O	
were	O	O	O	O	
nearly	O	O	O	O	
as	O	O	O	O	
large	O	O	O	O	
as	O	O	O	O	
grown-up	O	O	O	O	
horses	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
used	O	O	O	O	
to	O	O	O	O	
run	O	O	O	O	
with	O	O	O	O	
them	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
had	O	O	O	O	
great	O	O	O	O	
fun	O	O	O	O	
;	O	O	O	O	
we	O	O	O	O	
used	O	O	O	O	
to	O	O	O	O	
gallop	O	O	O	O	
all	O	O	O	O	
together	O	O	O	O	
round	O	O	O	O	
and	O	O	O	O	
round	O	O	O	O	
the	B-LOC	O	O	O	
field	I-LOC	O	O	O	
as	O	O	O	O	
hard	O	O	O	O	
as	O	O	O	O	
we	O	O	O	O	
could	O	O	O	O	
go	O	O	O	O	
.	O	O	O	O	

Sometimes	O	O	O	O	
we	O	O	O	O	
had	O	O	O	O	
rather	O	O	O	O	
rough	O	O	O	O	
play	O	O	O	O	
,	O	O	O	O	
for	O	O	O	O	
they	O	O	O	O	
would	O	O	O	O	
frequently	O	O	O	O	
bite	O	O	O	O	
and	O	O	O	O	
kick	O	O	O	O	
as	O	O	O	O	
well	O	O	O	O	
as	O	O	O	O	
gallop	O	O	O	O	
.	O	O	O	O	

One	O	O	O	O	
day	O	O	O	O	
,	O	O	O	O	
when	O	O	O	O	
there	O	O	O	O	
was	O	O	O	O	
a	O	O	O	O	
good	O	O	O	O	
deal	O	O	O	O	
of	O	O	O	O	
kicking	O	O	O	O	
,	O	O	O	O	
my	B-PER	O	O	O	
mother	I-PER	O	O	O	
whinnied	O	O	O	O	
to	O	O	O	O	
me	O	O	O	O	
to	O	O	O	O	
come	O	O	O	O	
to	O	O	O	O	
her	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
then	O	O	O	O	
she	O	O	O	O	
said	O	O	O	O	
:	O	O	O	O	
“	O	O	O	O	
I	O	O	O	O	
wish	O	O	O	O	
you	O	O	O	O	
to	O	O	O	O	
pay	O	O	O	O	
attention	O	O	O	O	
