Chapter	O	O	O	O	
1	O	O	O	O	
One	O	O	O	O	
may	O	O	O	O	
as	O	O	O	O	
well	O	O	O	O	
begin	O	O	O	O	
with	O	O	O	O	
Helen	B-PER	O	O	O	
's	O	O	O	O	
letters	O	O	O	O	
to	O	O	O	O	
her	B-PER	O	O	O	
sister	I-PER	O	O	O	
.	O	O	O	O	

HOWARDS	B-FAC	O	O	O	
END	I-FAC	O	O	O	
,	O	O	O	O	
TUESDAY	O	O	O	O	
.	O	O	O	O	

Dearest	B-PER	O	O	O	
Meg	I-PER	O	O	O	
,	O	O	O	O	
It	O	O	O	O	
is	O	O	O	O	
n't	O	O	O	O	
going	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
what	O	O	O	O	
we	O	O	O	O	
expected	O	O	O	O	
.	O	O	O	O	

It	O	O	O	O	
is	O	O	O	O	
old	O	O	O	O	
and	O	O	O	O	
little	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
altogether	O	O	O	O	
delightful	O	O	O	O	
--	O	O	O	O	
red	O	O	O	O	
brick	O	O	O	O	
.	O	O	O	O	

We	O	O	O	O	
can	O	O	O	O	
scarcely	O	O	O	O	
pack	O	O	O	O	
in	O	O	O	O	
as	O	O	O	O	
it	O	O	O	O	
is	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
dear	O	O	O	O	
knows	O	O	O	O	
what	O	O	O	O	
will	O	O	O	O	
happen	O	O	O	O	
when	O	O	O	O	
Paul	B-PER	O	O	O	
(	O	O	O	O	
younger	B-PER	O	O	O	
son	I-PER	O	O	O	
)	O	O	O	O	
arrives	O	O	O	O	
tomorrow	O	O	O	O	
.	O	O	O	O	

From	O	O	O	O	
hall	B-FAC	O	O	O	
you	O	O	O	O	
go	O	O	O	O	
right	O	O	O	O	
or	O	O	O	O	
left	O	O	O	O	
into	O	O	O	O	
dining-room	B-FAC	O	O	O	
or	O	O	O	O	
drawing-room	B-FAC	O	O	O	
.	O	O	O	O	

Hall	B-PER	O	O	O	
itself	O	O	O	O	
is	O	O	O	O	
practically	O	O	O	O	
a	B-FAC	O	O	O	
room	I-FAC	O	O	O	
.	O	O	O	O	

You	O	O	O	O	
open	O	O	O	O	
another	O	O	O	O	
door	O	O	O	O	
in	O	O	O	O	
it	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
there	O	O	O	O	
are	O	O	O	O	
the	B-FAC	O	O	O	
stairs	I-FAC	O	O	O	
going	O	O	O	O	
up	O	O	O	O	
in	O	O	O	O	
a	O	B-FAC	O	O	
sort	O	I-FAC	O	O	
of	O	I-FAC	O	O	
tunnel	O	I-FAC	O	O	
to	O	I-FAC	O	O	
the	B-FAC	I-FAC	O	O	
first-floor	I-FAC	I-FAC	O	O	
.	O	O	O	O	

Three	B-FAC	O	O	O	
bedrooms	I-FAC	O	O	O	
in	I-FAC	O	O	O	
a	I-FAC	O	O	O	
row	I-FAC	O	O	O	
there	B-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
three	B-FAC	O	O	O	
attics	I-FAC	O	O	O	
in	I-FAC	O	O	O	
a	I-FAC	O	O	O	
row	I-FAC	O	O	O	
above	I-FAC	O	O	O	
.	O	O	O	O	

That	O	O	O	O	
is	O	O	O	O	
n't	O	O	O	O	
all	O	O	O	O	
the	B-FAC	O	O	O	
house	I-FAC	O	O	O	
really	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
it	O	O	O	O	
's	O	O	O	O	
all	O	O	O	O	
that	O	O	O	O	
one	O	O	O	O	
notices	O	O	O	O	
--	O	O	O	O	
nine	O	O	O	O	
windows	O	O	O	O	
as	O	O	O	O	
you	O	O	O	O	
look	O	O	O	O	
up	O	O	O	O	
from	O	O	O	O	
the	B-FAC	O	O	O	
front	I-FAC	O	O	O	
garden	I-FAC	O	O	O	
.	O	O	O	O	

Then	O	O	O	O	
there	O	O	O	O	
's	O	O	O	O	
a	O	O	O	O	
very	O	O	O	O	
big	O	O	O	O	
wych-elm	O	O	O	O	
--	O	O	O	O	
to	O	O	O	O	
the	O	O	O	O	
left	O	O	O	O	
as	O	O	O	O	
you	O	O	O	O	
look	O	O	O	O	
up	O	O	O	O	
--	O	O	O	O	
leaning	O	O	O	O	
a	O	O	O	O	
little	O	O	O	O	
over	O	O	O	O	
the	B-FAC	O	O	O	
house	I-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
standing	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
boundary	O	O	O	O	
between	O	O	O	O	
the	B-FAC	O	O	O	
garden	I-FAC	O	O	O	
and	O	O	O	O	
meadow	B-LOC	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
quite	O	O	O	O	
love	O	O	O	O	
that	O	O	O	O	
tree	O	O	O	O	
already	O	O	O	O	
.	O	O	O	O	

Also	O	O	O	O	
ordinary	O	O	O	O	
elms	O	O	O	O	
,	O	O	O	O	
oaks	O	O	O	O	
--	O	O	O	O	
no	O	O	O	O	
nastier	O	O	O	O	
than	O	O	O	O	
ordinary	O	O	O	O	
oaks	O	O	O	O	
--	O	O	O	O	
pear-trees	O	O	O	O	
,	O	O	O	O	
apple-trees	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
vine	O	O	O	O	
.	O	O	O	O	

No	O	O	O	O	
silver	O	O	O	O	
birches	O	O	O	O	
,	O	O	O	O	
though	O	O	O	O	
.	O	O	O	O	

However	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
must	O	O	O	O	
get	O	O	O	O	
on	O	O	O	O	
to	O	O	O	O	
my	B-PER	O	O	O	
host	I-PER	O	O	O	
and	O	O	O	O	
hostess	B-PER	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
only	O	O	O	O	
wanted	O	O	O	O	
to	O	O	O	O	
show	O	O	O	O	
that	O	O	O	O	
it	O	O	O	O	
is	O	O	O	O	
n't	O	O	O	O	
the	O	O	O	O	
