THE	O	O	O	O	
SCARLET	O	O	O	O	
LETTER	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

THE	O	O	O	O	
PRISON	O	O	O	O	
DOOR	O	O	O	O	
A	B-PER	O	O	O	
throng	I-PER	O	O	O	
of	I-PER	O	O	O	
bearded	I-PER	O	O	O	
men	I-PER	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
sad-coloured	O	O	O	O	
garments	O	O	O	O	
and	O	O	O	O	
grey	O	O	O	O	
steeple-crowned	O	O	O	O	
hats	O	O	O	O	
,	O	O	O	O	
inter-mixed	O	O	O	O	
with	O	O	O	O	
women	B-PER	O	O	O	
,	O	O	O	O	
some	B-PER	O	O	O	
wearing	I-PER	O	O	O	
hoods	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
others	B-PER	O	O	O	
bareheaded	I-PER	O	O	O	
,	O	O	O	O	
was	O	O	O	O	
assembled	O	O	O	O	
in	O	O	O	O	
front	O	O	O	O	
of	O	O	O	O	
a	B-FAC	O	O	O	
wooden	I-FAC	O	O	O	
edifice	I-FAC	O	O	O	
,	O	O	O	O	
the	O	O	O	O	
door	O	O	O	O	
of	O	O	O	O	
which	O	O	O	O	
was	O	O	O	O	
heavily	O	O	O	O	
timbered	O	O	O	O	
with	O	O	O	O	
oak	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
studded	O	O	O	O	
with	O	O	O	O	
iron	O	O	O	O	
spikes	O	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
founders	O	O	O	O	
of	O	O	O	O	
a	B-GPE	O	O	O	
new	I-GPE	O	O	O	
colony	I-GPE	O	O	O	
,	O	O	O	O	
whatever	O	O	O	O	
Utopia	O	O	O	O	
of	O	O	O	O	
human	O	O	O	O	
virtue	O	O	O	O	
and	O	O	O	O	
happiness	O	O	O	O	
they	O	O	O	O	
might	O	O	O	O	
originally	O	O	O	O	
project	O	O	O	O	
,	O	O	O	O	
have	O	O	O	O	
invariably	O	O	O	O	
recognised	O	O	O	O	
it	O	O	O	O	
among	O	O	O	O	
their	O	O	O	O	
earliest	O	O	O	O	
practical	O	O	O	O	
necessities	O	O	O	O	
to	O	O	O	O	
allot	O	O	O	O	
a	O	O	O	O	
portion	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
virgin	O	O	O	O	
soil	O	O	O	O	
as	O	O	O	O	
a	B-FAC	O	O	O	
cemetery	I-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
another	O	O	O	O	
portion	O	O	O	O	
as	O	O	O	O	
the	O	O	O	O	
site	O	O	O	O	
of	O	O	O	O	
a	B-FAC	O	O	O	
prison	I-FAC	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
accordance	O	O	O	O	
with	O	O	O	O	
this	O	O	O	O	
rule	O	O	O	O	
it	O	O	O	O	
may	O	O	O	O	
