CHAPTER	O	O	O	O	
I	O	O	O	O	
At	O	O	O	O	
sunset	O	O	O	O	
hour	O	O	O	O	
the	B-LOC	O	O	O	
forest	I-LOC	O	O	O	
was	O	O	O	O	
still	O	O	O	O	
,	O	O	O	O	
lonely	O	O	O	O	
,	O	O	O	O	
sweet	O	O	O	O	
with	O	O	O	O	
tang	O	O	O	O	
of	O	O	O	O	
fir	O	O	O	O	
and	O	O	O	O	
spruce	O	O	O	O	
,	O	O	O	O	
blazing	O	O	O	O	
in	O	O	O	O	
gold	O	O	O	O	
and	O	O	O	O	
red	O	O	O	O	
and	O	O	O	O	
green	O	O	O	O	
;	O	O	O	O	
and	O	O	O	O	
the	B-PER	O	O	O	
man	I-PER	O	O	O	
who	I-PER	O	O	O	
glided	I-PER	O	O	O	
on	I-PER	O	O	O	
under	I-PER	O	O	O	
the	I-PER	O	O	O	
great	I-PER	O	O	O	
trees	I-PER	O	O	O	
seemed	O	O	O	O	
to	O	O	O	O	
blend	O	O	O	O	
with	O	O	O	O	
the	O	O	O	O	
colors	O	O	O	O	
and	O	O	O	O	
,	O	O	O	O	
disappearing	O	O	O	O	
,	O	O	O	O	
to	O	O	O	O	
have	O	O	O	O	
become	O	O	O	O	
a	O	O	O	O	
part	O	O	O	O	
of	O	O	O	O	
the	B-LOC	O	O	O	
wild	I-LOC	O	O	O	
woodland	I-LOC	O	O	O	
.	O	O	O	O	

Old	B-LOC	O	O	O	
Baldy	I-LOC	O	O	O	
,	O	O	O	O	
highest	O	O	O	O	
of	O	O	O	O	
the	B-PER	O	O	O	
White	I-PER	O	O	O	
Mountains	I-PER	O	O	O	
,	O	O	O	O	
stood	O	O	O	O	
up	O	O	O	O	
round	O	O	O	O	
and	O	O	O	O	
bare	O	O	O	O	
,	O	O	O	O	
rimmed	O	O	O	O	
bright	O	O	O	O	
gold	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
last	O	O	O	O	
glow	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
setting	O	O	O	O	
sun	O	O	O	O	
.	O	O	O	O	

Then	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
the	O	O	O	O	
fire	O	O	O	O	
dropped	O	O	O	O	
behind	O	O	O	O	
the	O	O	O	O	
domed	O	O	O	O	
peak	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
change	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
cold	O	O	O	O	
and	O	O	O	O	
darkening	O	O	O	O	
blight	O	O	O	O	
,	O	O	O	O	
passed	O	O	O	O	
down	O	O	O	O	
the	B-LOC	O	O	O	
black	I-LOC	O	O	O	
spear-pointed	I-LOC	O	O	O	
slopes	I-LOC	O	O	O	
over	O	O	O	O	
all	B-LOC	O	O	O	
that	I-LOC	O	O	O	
mountain	I-LOC	O	O	O	
world	I-LOC	O	O	O	
.	O	O	O	O	

It	O	O	O	O	
was	O	O	O	O	
a	O	B-LOC	O	O	
wild	O	I-LOC	O	O	
,	O	I-LOC	O	O	
richly	O	I-LOC	O	O	
timbered	O	I-LOC	O	O	
,	O	I-LOC	O	O	
and	O	I-LOC	O	O	
abundantly	O	I-LOC	O	O	
watered	O	I-LOC	O	O	
region	O	I-LOC	O	O	
of	O	I-LOC	O	O	
dark	B-LOC	I-LOC	O	O	
forests	I-LOC	I-LOC	O	O	
and	O	I-LOC	O	O	
grassy	B-LOC	I-LOC	O	O	
parks	I-LOC	I-LOC	O	O	
,	O	O	O	O	
ten	O	O	O	O	
thousand	O	O	O	O	
feet	O	O	O	O	
above	O	O	O	O	
sea-level	O	O	O	O	
,	O	O	O	O	
isolated	O	O	O	O	
on	O	O	O	O	
all	O	O	O	O	
sides	O	O	O	O	
by	O	O	O	O	
the	B-LOC	O	O	O	
southern	I-LOC	O	O	O	
Arizona	I-LOC	O	O	O	
desert	I-LOC	O	O	O	
--	O	O	O	O	
the	B-LOC	O	O	O	
virgin	I-LOC	O	O	O	
home	I-LOC	O	O	O	
of	I-LOC	O	O	O	
elk	I-LOC	O	O	O	
and	I-LOC	O	O	O	
deer	I-LOC	O	O	O	
,	I-LOC	O	O	O	
of	I-LOC	O	O	O	
bear	I-LOC	O	O	O	
and	I-LOC	O	O	O	
lion	I-LOC	O	O	O	
,	I-LOC	O	O	O	
of	I-LOC	O	O	O	
wolf	I-LOC	O	O	O	
and	I-LOC	O	O	O	
fox	I-LOC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	B-LOC	O	O	
birthplace	O	I-LOC	O	O	
as	O	I-LOC	O	O	
