CHAPTER	O	O	O	O	
I	O	O	O	O	
JONATHAN	B-PER	O	O	O	
HARKER	I-PER	O	O	O	
'S	O	O	O	O	
JOURNAL	O	O	O	O	
(	O	O	O	O	
_	O	O	O	O	
Kept	O	O	O	O	
in	O	O	O	O	
shorthand	O	O	O	O	
.	O	O	O	O	

_	O	O	O	O	
)	O	O	O	O	
_	O	O	O	O	
3	O	O	O	O	
May	O	O	O	O	
.	O	O	O	O	

Bistritz	B-GPE	O	O	O	
.	O	O	O	O	

_	O	O	O	O	
--	O	O	O	O	
Left	O	O	O	O	
Munich	B-GPE	O	O	O	
at	O	O	O	O	
8:35	O	O	O	O	
P.	O	O	O	O	
M.	O	O	O	O	
,	O	O	O	O	
on	O	O	O	O	
1st	O	O	O	O	
May	O	O	O	O	
,	O	O	O	O	
arriving	O	O	O	O	
at	O	O	O	O	
Vienna	B-GPE	O	O	O	
early	O	O	O	O	
next	O	O	O	O	
morning	O	O	O	O	
;	O	O	O	O	
should	O	O	O	O	
have	O	O	O	O	
arrived	O	O	O	O	
at	O	O	O	O	
6:46	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
train	B-VEH	O	O	O	
was	O	O	O	O	
an	O	O	O	O	
hour	O	O	O	O	
late	O	O	O	O	
.	O	O	O	O	

Buda-Pesth	B-GPE	O	O	O	
seems	O	O	O	O	
a	B-GPE	O	O	O	
wonderful	I-GPE	O	O	O	
place	I-GPE	O	O	O	
,	O	O	O	O	
from	O	O	O	O	
the	O	O	O	O	
glimpse	O	O	O	O	
which	O	O	O	O	
I	O	O	O	O	
got	O	O	O	O	
of	O	O	O	O	
it	O	O	O	O	
from	O	O	O	O	
the	B-VEH	O	O	O	
train	I-VEH	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
little	O	O	O	O	
I	O	O	O	O	
could	O	O	O	O	
walk	O	O	O	O	
through	O	O	O	O	
the	B-FAC	O	O	O	
streets	I-FAC	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
feared	O	O	O	O	
to	O	O	O	O	
go	O	O	O	O	
very	O	O	O	O	
far	O	O	O	O	
from	O	O	O	O	
the	B-FAC	O	O	O	
station	I-FAC	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
we	O	O	O	O	
had	O	O	O	O	
arrived	O	O	O	O	
late	O	O	O	O	
and	O	O	O	O	
would	O	O	O	O	
start	O	O	O	O	
as	O	O	O	O	
near	O	O	O	O	
the	O	O	O	O	
correct	O	O	O	O	
time	O	O	O	O	
as	O	O	O	O	
possible	O	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
impression	O	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
was	O	O	O	O	
that	O	O	O	O	
we	O	O	O	O	
were	O	O	O	O	
leaving	O	O	O	O	
the	B-LOC	O	O	O	
West	I-LOC	O	O	O	
and	O	O	O	O	
entering	O	O	O	O	
the	B-LOC	O	O	O	
East	I-LOC	O	O	O	
;	O	O	O	O	
the	O	B-FAC	O	O	
most	O	I-FAC	O	O	
western	O	I-FAC	O	O	
of	O	I-FAC	O	O	
splendid	O	I-FAC	O	O	
bridges	O	I-FAC	O	O	
over	O	I-FAC	O	O	
the	B-LOC	I-FAC	O	O	
Danube	I-LOC	I-FAC	O	O	
,	O	O	O	O	
which	O	O	O	O	
is	O	O	O	O	
here	O	O	O	O	
of	O	O	O	O	
noble	O	O	O	O	
width	O	O	O	O	
and	O	O	O	O	
depth	O	O	O	O	
,	O	O	O	O	
took	O	O	O	O	
us	O	O	O	O	
among	O	O	O	O	
the	O	O	O	O	
traditions	O	O	O	O	
of	O	O	O	O	
Turkish	O	O	O	O	
rule	O	O	O	O	
.	O	O	O	O	

We	O	O	O	O	
left	O	O	O	O	
in	O	O	O	O	
pretty	O	O	O	O	
good	O	O	O	O	
time	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
came	O	O	O	O	
after	O	O	O	O	
nightfall	O	O	O	O	
to	O	O	O	O	
Klausenburgh	B-GPE	O	O	O	
.	O	O	O	O	

Here	B-FAC	O	O	O	
I	O	O	O	O	
stopped	O	O	O	O	
for	O	O	O	O	
the	O	O	O	O	
night	O	O	O	O	
at	O	O	O	O	
the	B-FAC	O	O	O	
Hotel	I-FAC	O	O	O	
Royale	I-FAC	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
had	O	O	O	O	
for	O	O	O	O	
dinner	O	O	O	O	
,	O	O	O	O	
or	O	O	O	O	
rather	O	O	O	O	
supper	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
chicken	O	O	O	O	
