CHAPTER	O	O	O	O	
I	O	O	O	O	
'	O	O	O	O	
HASTE	O	O	O	O	
TO	O	O	O	O	
THE	O	O	O	O	
WEDDING	O	O	O	O	
'	O	O	O	O	
'	O	O	O	O	
Wooed	O	O	O	O	
and	O	O	O	O	
married	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
'	O	O	O	O	
.	O	O	O	O	
'	O	O	O	O	

'	O	O	O	O	
Edith	B-PER	O	O	O	
!	O	O	O	O	
'	O	O	O	O	

said	O	O	O	O	
Margaret	B-PER	O	O	O	
,	O	O	O	O	
gently	O	O	O	O	
,	O	O	O	O	
'	O	O	O	O	
Edith	B-PER	O	O	O	
!	O	O	O	O	
'	O	O	O	O	

But	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
Margaret	B-PER	O	O	O	
half	O	O	O	O	
suspected	O	O	O	O	
,	O	O	O	O	
Edith	B-PER	O	O	O	
had	O	O	O	O	
fallen	O	O	O	O	
asleep	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
lay	O	O	O	O	
curled	O	O	O	O	
up	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
sofa	O	O	O	O	
in	O	O	O	O	
the	B-FAC	O	O	O	
back	I-FAC	O	O	O	
drawing-room	I-FAC	O	O	O	
in	O	O	O	O	
Harley	B-FAC	O	O	O	
Street	I-FAC	O	O	O	
,	O	O	O	O	
looking	O	O	O	O	
very	O	O	O	O	
lovely	O	O	O	O	
in	O	O	O	O	
her	O	O	O	O	
white	O	O	O	O	
muslin	O	O	O	O	
and	O	O	O	O	
blue	O	O	O	O	
ribbons	O	O	O	O	
.	O	O	O	O	

If	O	O	O	O	
Titania	B-PER	O	O	O	
had	O	O	O	O	
ever	O	O	O	O	
been	O	O	O	O	
dressed	O	O	O	O	
in	O	O	O	O	
white	O	O	O	O	
muslin	O	O	O	O	
and	O	O	O	O	
blue	O	O	O	O	
ribbons	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
had	O	O	O	O	
fallen	O	O	O	O	
asleep	O	O	O	O	
on	O	O	O	O	
a	O	O	O	O	
crimson	O	O	O	O	
damask	O	O	O	O	
sofa	O	O	O	O	
in	O	O	O	O	
a	B-FAC	O	O	O	
back	I-FAC	O	O	O	
drawing-room	I-FAC	O	O	O	
,	O	O	O	O	
Edith	B-PER	O	O	O	
might	O	O	O	O	
have	O	O	O	O	
been	O	O	O	O	
taken	O	O	O	O	
for	O	O	O	O	
her	O	O	O	O	
.	O	O	O	O	

Margaret	B-PER	O	O	O	
was	O	O	O	O	
struck	O	O	O	O	
afresh	O	O	O	O	
by	O	O	O	O	
her	B-PER	O	O	O	
cousin	I-PER	O	O	O	
's	O	O	O	O	
beauty	O	O	O	O	
.	O	O	O	O	

They	O	O	O	O	
had	O	O	O	O	
grown	O	O	O	O	
up	O	O	O	O	
together	O	O	O	O	
from	O	O	O	O	
childhood	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
all	O	O	O	O	
along	O	O	O	O	
Edith	B-PER	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
remarked	O	O	O	O	
upon	O	O	O	O	
by	O	O	O	O	
every	B-PER	O	O	O	
one	I-PER	O	O	O	
,	O	O	O	O	
except	O	O	O	O	
Margaret	B-PER	O	O	O	
,	O	O	O	O	
for	O	O	O	O	
her	O	O	O	O	
prettiness	O	O	O	O	
;	O	O	O	O	
but	O	O	O	O	
Margaret	B-PER	O	O	O	
had	O	O	O	O	
never	O	O	O	O	
thought	O	O	O	O	
about	O	O	O	O	
it	O	O	O	O	
until	O	O	O	O	
the	O	O	O	O	
last	O	O	O	O	
few	O	O	O	O	
days	O	O	O	O	
,	O	O	O	O	
when	O	O	O	O	
the	O	O	O	O	
prospect	O	O	O	O	
of	O	O	O	O	
soon	O	O	O	O	
losing	O	O	O	O	
her	B-PER	O	O	O	
companion	I-PER	O	O	O	
seemed	O	O	O	O	
to	O	O	O	O	
give	O	O	O	O	
force	O	O	O	O	
to	O	O	O	O	
every	O	O	O	O	
sweet	O	O	O	O	
quality	O	O	O	O	
and	O	O	O	O	
charm	O	O	O	O	
which	O	O	O	O	
Edith	B-PER	O	O	O	
possessed	O	O	O	O	
.	O	O	O	O	

They	O	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
talking	O	O	O	O	
about	O	O	O	O	
wedding	O	O	O	O	
dresses	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
wedding	O	O	O	O	
ceremonies	O	O	O	O	
;	O	O	O	O	
and	O	O	O	O	
