CHAPTER	O	O	O	O	
I	O	O	O	O	
I	O	O	O	O	
TAKE	O	O	O	O	
A	B-FAC	O	O	O	
COUNTRY	I-FAC	O	O	O	
HOUSE	I-FAC	O	O	O	
This	O	O	O	O	
is	O	O	O	O	
the	O	O	O	O	
story	O	O	O	O	
of	O	O	O	O	
how	O	O	O	O	
a	B-PER	O	O	O	
middle-aged	I-PER	O	O	O	
spinster	I-PER	O	O	O	
lost	O	O	O	O	
her	O	O	O	O	
mind	O	O	O	O	
,	O	O	O	O	
deserted	O	O	O	O	
her	B-PER	O	O	O	
domestic	I-PER	O	O	O	
gods	I-PER	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
city	O	O	O	O	
,	O	O	O	O	
took	O	O	O	O	
a	B-FAC	O	O	O	
furnished	I-FAC	O	O	O	
house	I-FAC	O	O	O	
for	O	O	O	O	
the	O	O	O	O	
summer	O	O	O	O	
out	O	O	O	O	
of	O	O	O	O	
town	B-GPE	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
found	O	O	O	O	
herself	O	O	O	O	
involved	O	O	O	O	
in	O	O	O	O	
one	O	O	O	O	
of	O	O	O	O	
those	O	O	O	O	
mysterious	O	O	O	O	
crimes	O	O	O	O	
that	O	O	O	O	
keep	O	O	O	O	
our	O	O	O	O	
newspapers	O	O	O	O	
and	O	O	O	O	
detective	O	O	O	O	
agencies	O	O	O	O	
happy	O	O	O	O	
and	O	O	O	O	
prosperous	O	O	O	O	
.	O	O	O	O	

For	O	O	O	O	
twenty	O	O	O	O	
years	O	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
been	O	O	O	O	
perfectly	O	O	O	O	
comfortable	O	O	O	O	
;	O	O	O	O	
for	O	O	O	O	
twenty	O	O	O	O	
years	O	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
had	O	O	O	O	
the	O	O	O	O	
window-boxes	O	O	O	O	
filled	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
spring	O	O	O	O	
,	O	O	O	O	
the	O	O	O	O	
carpets	O	O	O	O	
lifted	O	O	O	O	
,	O	O	O	O	
the	O	O	O	O	
awnings	O	O	O	O	
put	O	O	O	O	
up	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
furniture	O	O	O	O	
covered	O	O	O	O	
with	O	O	O	O	
brown	O	O	O	O	
linen	O	O	O	O	
;	O	O	O	O	
for	O	O	O	O	
as	O	O	O	O	
many	O	O	O	O	
summers	O	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
said	O	O	O	O	
good-by	O	O	O	O	
to	O	O	O	O	
my	B-PER	O	O	O	
friends	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
,	O	O	O	O	
after	O	O	O	O	
watching	O	O	O	O	
their	O	O	O	O	
perspiring	O	O	O	O	
hegira	O	O	O	O	
,	O	O	O	O	
had	O	O	O	O	
settled	O	O	O	O	
down	O	O	O	O	
to	O	O	O	O	
a	O	O	O	O	
delicious	O	O	O	O	
quiet	O	O	O	O	
in	O	O	O	O	
town	B-GPE	O	O	O	
,	O	O	O	O	
where	O	O	O	O	
the	O	O	O	O	
mail	O	O	O	O	
comes	O	O	O	O	
three	O	O	O	O	
times	O	O	O	O	
a	O	O	O	O	
day	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
water	O	O	O	O	
supply	O	O	O	O	
does	O	O	O	O	
not	O	O	O	O	
depend	O	O	O	O	
on	O	O	O	O	
a	O	O	O	O	
tank	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
roof	O	O	O	O	
.	O	O	O	O	

And	O	O	O	O	
then	O	O	O	O	
--	O	O	O	O	
the	O	O	O	O	
madness	O	O	O	O	
seized	O	O	O	O	
me	O	O	O	O	
.	O	O	O	O	

When	O	O	O	O	
I	O	O	O	O	
look	O	O	O	O	
back	O	O	O	O	
over	O	O	O	O	
the	O	O	O	O	
months	O	O	O	O	
I	O	O	O	O	
spent	O	O	O	O	
at	O	O	O	O	
Sunnyside	B-GPE	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
wonder	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
survived	O	O	O	O	
at	O	O	O	O	
all	O	O	O	O	
.	O	O	O	O	

As	O	O	O	O	
it	O	O	O	O	
is	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
show	O	O	O	O	
the	O	O	O	O	
wear	O	O	O	O	
and	O	O	O	O	
tear	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
harrowing	O	O	O	O	
experiences	O	O	O	O	
