CHAPTER	O	O	O	O	O	
I.	O	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	O	
Rachel	O	I-PER	O	O	O	
Lynde	O	I-PER	O	O	O	
is	O	O	O	O	O	
Surprised	O	O	O	O	O	
|	O	O	O	O	O	
MRS.	B-PER	B-PER	O	O	O	
Rachel	O	I-PER	O	O	O	
Lynde	O	I-PER	O	O	O	
lived	O	O	O	O	O	
just	O	O	O	O	O	
where	O	O	O	O	O	
the	O	B-FAC	O	O	O	
Avonlea	B-GPE	I-FAC	O	O	O	
main	O	I-FAC	O	O	O	
road	O	I-FAC	O	O	O	
dipped	O	O	O	O	O	
down	O	O	O	O	O	
into	O	O	O	O	O	
a	O	O	O	O	O	
little	O	O	O	O	O	
hollow	O	O	O	O	O	
,	O	O	O	O	O	
fringed	O	O	O	O	O	
with	O	O	O	O	O	
alders	O	O	O	O	O	
and	O	O	O	O	O	
ladies	O	O	O	O	O	
’	O	O	O	O	O	
eardrops	O	O	O	O	O	
and	O	O	O	O	O	
traversed	O	O	O	O	O	
by	O	O	O	O	O	
a	O	O	O	B-LOC	O	
brook	O	O	O	I-LOC	O	
that	O	O	O	I-LOC	O	
had	O	O	O	I-LOC	O	
its	O	O	O	I-LOC	O	
source	O	O	O	I-LOC	O	
away	O	O	O	I-LOC	O	
back	O	O	O	I-LOC	O	
in	O	O	O	I-LOC	O	
the	O	O	B-LOC	I-LOC	O	
woods	O	O	I-LOC	I-LOC	O	
of	O	O	I-LOC	I-LOC	O	
the	O	B-FAC	I-LOC	I-LOC	O	
old	O	I-FAC	I-LOC	I-LOC	O	
Cuthbert	B-PER	I-FAC	I-LOC	I-LOC	O	
place	O	I-FAC	I-LOC	I-LOC	O	
;	O	O	O	O	O	
it	O	O	O	O	O	
was	O	O	O	O	O	
reputed	O	O	O	O	O	
to	O	O	O	O	O	
be	O	O	O	O	O	
an	B-LOC	O	O	O	O	
intricate	I-LOC	O	O	O	O	
,	I-LOC	O	O	O	O	
headlong	I-LOC	O	O	O	O	
brook	I-LOC	O	O	O	O	
in	O	O	O	O	O	
its	O	O	O	O	O	
earlier	O	O	O	O	O	
course	O	O	O	O	O	
through	O	O	O	O	O	
those	B-LOC	O	O	O	O	
woods	I-LOC	O	O	O	O	
,	O	O	O	O	O	
with	O	O	O	O	O	
dark	O	O	O	O	O	
secrets	O	O	O	O	O	
of	O	O	O	O	O	
pool	O	O	O	O	O	
and	O	O	O	O	O	
cascade	O	O	O	O	O	
;	O	O	O	O	O	
but	O	O	O	O	O	
by	O	O	O	O	O	
the	O	O	O	O	O	
time	O	O	O	O	O	
it	O	O	O	O	O	
reached	O	O	O	O	O	
Lynde	B-LOC	O	O	O	O	
’s	I-LOC	O	O	O	O	
Hollow	I-LOC	O	O	O	O	
it	O	O	O	O	O	
was	O	O	O	O	O	
a	B-LOC	O	O	O	O	
quiet	I-LOC	O	O	O	O	
,	I-LOC	O	O	O	O	
well-conducted	I-LOC	O	O	O	O	
little	I-LOC	O	O	O	O	
stream	I-LOC	O	O	O	O	
,	O	O	O	O	O	
for	O	O	O	O	O	
not	O	O	O	O	O	
even	O	O	O	O	O	
a	B-LOC	O	O	O	O	
brook	I-LOC	O	O	O	O	
could	O	O	O	O	O	
run	O	O	O	O	O	
past	O	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	O	
Rachel	O	I-PER	O	O	O	
Lynde	O	I-PER	O	O	O	
’s	O	O	O	O	O	
door	O	O	O	O	O	
without	O	O	O	O	O	
due	O	O	O	O	O	
regard	O	O	O	O	O	
for	O	O	O	O	O	
decency	O	O	O	O	O	
and	O	O	O	O	O	
decorum	O	O	O	O	O	
;	O	O	O	O	O	
it	O	O	O	O	O	
probably	O	O	O	O	O	
was	O	O	O	O	O	
conscious	O	O	O	O	O	
that	O	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	O	
Rachel	O	I-PER	O	O	O	
was	O	O	O	O	O	
sitting	O	O	O	O	O	
at	O	O	O	O	O	
her	O	O	O	O	O	
window	O	O	O	O	O	
,	O	O	O	O	O	
keeping	O	O	O	O	O	
a	O	O	O	O	O	
sharp	O	O	O	O	O	
eye	O	O	O	O	O	
on	O	O	O	O	O	
everything	O	O	O	O	O	
that	O	O	O	O	O	
passed	O	O	O	O	O	
,	O	O	O	O	O	
from	O	O	O	O	O	
brooks	B-LOC	O	O	O	O	
and	O	O	O	O	O	
children	B-PER	O	O	O	O	
up	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
that	O	O	O	O	O	
if	O	O	O	O	O	
she	O	O	O	O	O	
noticed	O	O	O	O	O	
anything	O	O	O	O	O	
odd	O	O	O	O	O	
or	O	O	O	O	O	
out	O	O	O	O	O	
of	O	O	O	O	O	
place	O	O	O	O	O	
she	O	O	O	O	O	
would	O	O	O	O	O	
never	O	O	O	O	O	
rest	O	O	O	O	O	
until	O	O	O	O	O	
she	O	O	O	O	O	
had	O	O	O	O	O	
ferreted	O	O	O	O	O	
out	O	O	O	O	O	
the	O	O	O	O	O	
whys	O	O	O	O	O	
and	O	O	O	O	O	
wherefores	O	O	O	O	O	
thereof	O	O	O	O	O	
.	O	O	O	O	O	

There	O	O	O	O	O	
are	O	O	O	O	O	
plenty	O	O	O	O	O	
of	O	O	O	O	O	
people	B-PER	O	O	O	O	
in	O	O	O	O	O	
Avonlea	B-GPE	O	O	O	O	
and	O	O	O	O	O	
out	O	O	O	O	O	
of	O	O	O	O	O	
it	O	O	O	O	O	
,	O	O	O	O	O	
who	O	O	O	O	O	
can	O	O	O	O	O	
attend	O	O	O	O	O	
closely	O	O	O	O	O	
to	O	O	O	O	O	
their	B-PER	O	O	O	O	
neighbor	I-PER	O	O	O	O	
’s	O	O	O	O	O	
business	O	O	O	O	O	
by	O	O	O	O	O	
dint	O	O	O	O	O	
of	O	O	O	O	O	
neglecting	O	O	O	O	O	
their	O	O	O	O	O	
own	O	O	O	O	O	
;	O	O	O	O	O	
but	O	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	O	
Rachel	O	I-PER	O	O	O	
Lynde	O	I-PER	O	O	O	
was	O	O	O	O	O	
one	O	O	B-PER	O	O	
of	O	O	I-PER	O	O	
those	O	B-PER	I-PER	O	O	
capable	O	I-PER	I-PER	O	O	
creatures	O	I-PER	I-PER	O	O	
who	O	I-PER	I-PER	O	O	
can	O	I-PER	I-PER	O	O	
manage	O	I-PER	I-PER	O	O	
their	O	I-PER	I-PER	O	O	
own	O	I-PER	I-PER	O	O	
concerns	O	I-PER	I-PER	O	O	
and	O	I-PER	I-PER	O	O	
those	O	I-PER	I-PER	O	O	
of	O	I-PER	I-PER	O	O	
other	B-PER	I-PER	I-PER	O	O	
folks	I-PER	I-PER	I-PER	O	O	
into	O	I-PER	I-PER	O	O	
the	O	I-PER	I-PER	O	O	
bargain	O	I-PER	I-PER	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
was	O	O	O	O	O	
a	B-PER	O	O	O	O	
notable	I-PER	O	O	O	O	
