CHAPTER	O	O	O	O	
I	O	O	O	O	
RAGGED	B-PER	O	O	O	
DICK	I-PER	O	O	O	
IS	O	O	O	O	
INTRODUCED	O	O	O	O	
TO	O	O	O	O	
THE	B-PER	O	O	O	
READER	I-PER	O	O	O	
"	O	O	O	O	
Wake	O	O	O	O	
up	O	O	O	O	
there	O	O	O	O	
,	O	O	O	O	
youngster	B-PER	O	O	O	
,	O	O	O	O	
"	O	O	O	O	
said	O	O	O	O	
a	B-PER	O	O	O	
rough	I-PER	O	O	O	
voice	I-PER	O	O	O	
.	O	O	O	O	

Ragged	B-PER	O	O	O	
Dick	I-PER	O	O	O	
opened	O	O	O	O	
his	O	O	O	O	
eyes	O	O	O	O	
slowly	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
stared	O	O	O	O	
stupidly	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
face	O	O	O	O	
of	O	O	O	O	
the	B-PER	O	O	O	
speaker	I-PER	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
did	O	O	O	O	
not	O	O	O	O	
offer	O	O	O	O	
to	O	O	O	O	
get	O	O	O	O	
up	O	O	O	O	
.	O	O	O	O	

"	O	O	O	O	
Wake	O	O	O	O	
up	O	O	O	O	
,	O	O	O	O	
you	B-PER	O	O	O	
young	I-PER	O	O	O	
vagabond	I-PER	O	O	O	
!	O	O	O	O	
"	O	O	O	O	

said	O	O	O	O	
the	B-PER	O	O	O	
man	I-PER	O	O	O	
a	O	O	O	O	
little	O	O	O	O	
impatiently	O	O	O	O	
;	O	O	O	O	
"	O	O	O	O	
I	O	O	O	O	
suppose	O	O	O	O	
you	O	O	O	O	
'd	O	O	O	O	
lay	O	O	O	O	
there	O	O	O	O	
all	O	O	O	O	
day	O	O	O	O	
,	O	O	O	O	
if	O	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
n't	O	O	O	O	
called	O	O	O	O	
you	O	O	O	O	
.	O	O	O	O	
"	O	O	O	O	

"	O	O	O	O	
What	O	O	O	O	
time	O	O	O	O	
is	O	O	O	O	
it	O	O	O	O	
?	O	O	O	O	
"	O	O	O	O	

asked	O	O	O	O	
Dick	B-PER	O	O	O	
.	O	O	O	O	

"	O	O	O	O	
Seven	O	O	O	O	
o'clock	O	O	O	O	
.	O	O	O	O	
"	O	O	O	O	

"	O	O	O	O	
Seven	O	O	O	O	
o'clock	O	O	O	O	
!	O	O	O	O	

I	O	O	O	O	
oughter	O	O	O	O	
've	O	O	O	O	
been	O	O	O	O	
up	O	O	O	O	
an	O	O	O	O	
hour	O	O	O	O	
ago	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
know	O	O	O	O	
what	O	O	O	O	
't	O	O	O	O	
was	O	O	O	O	
made	O	O	O	O	
me	O	O	O	O	
so	O	O	O	O	
precious	O	O	O	O	
sleepy	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
went	O	O	O	O	
to	O	O	O	O	
the	B-FAC	O	O	O	
Old	I-FAC	O	O	O	
Bowery	I-FAC	O	O	O	
last	O	O	O	O	
night	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
did	O	O	O	O	
n't	O	O	O	O	
turn	O	O	O	O	
in	O	O	O	O	
till	O	O	O	O	
past	O	O	O	O	
twelve	O	O	O	O	
.	O	O	O	O	
"	O	O	O	O	

"	O	O	O	O	
You	O	O	O	O	
went	O	O	O	O	
to	O	O	O	O	
the	B-FAC	O	O	O	
Old	I-FAC	O	O	O	
Bowery	I-FAC	O	O	O	
?	O	O	O	O	

Where	O	O	O	O	
'd	O	O	O	O	
you	O	O	O	O	
get	O	O	O	O	
your	O	O	O	O	
money	O	O	O	O	
?	O	O	O	O	
"	O	O	O	O	

asked	O	O	O	O	
the	B-PER	O	O	O	
man	I-PER	O	O	O	
,	O	O	O	O	
who	O	O	O	O	
was	O	O	O	O	
a	O	B-PER	O	O	
porter	O	I-PER	O	O	
in	O	I-PER	O	O	
the	O	I-PER	O	O	
employ	O	I-PER	O	O	
of	O	I-PER	O	O	
a	O	I-PER	O	O	
firm	O	I-PER	O	O	
doing	O	I-PER	O	O	
business	O	I-PER	O	O	
on	O	I-PER	O	O	
Spruce	B-FAC	I-PER	O	O	
Street	I-FAC	I-PER	O	O	
.	O	O	O	O	

