CHAPTER	O	O	O	O	O	
I	O	O	O	O	O	
I	O	O	O	O	O	
ON	O	O	O	O	O	
a	O	B-LOC	O	O	O	
hill	O	I-LOC	O	O	O	
by	O	I-LOC	O	O	O	
the	B-LOC	I-LOC	O	O	O	
Mississippi	I-LOC	I-LOC	O	O	O	
where	O	I-LOC	O	O	O	
Chippewas	B-PER	I-LOC	O	O	O	
camped	O	I-LOC	O	O	O	
two	O	I-LOC	O	O	O	
generations	O	I-LOC	O	O	O	
ago	O	I-LOC	O	O	O	
,	O	O	O	O	O	
a	B-PER	O	O	O	O	
girl	I-PER	O	O	O	O	
stood	O	O	O	O	O	
in	O	O	O	O	O	
relief	O	O	O	O	O	
against	O	O	O	O	O	
the	O	O	O	O	O	
cornflower	O	O	O	O	O	
blue	O	O	O	O	O	
of	O	O	O	O	O	
Northern	O	O	O	O	O	
sky	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
saw	O	O	O	O	O	
no	B-PER	O	O	O	O	
Indians	I-PER	O	O	O	O	
now	O	O	O	O	O	
;	O	O	O	O	O	
she	O	O	O	O	O	
saw	O	O	O	O	O	
flour-mills	B-FAC	O	O	O	O	
and	O	O	O	O	O	
the	O	O	O	O	O	
blinking	O	O	O	O	O	
windows	O	O	O	O	O	
of	O	O	O	O	O	
skyscrapers	O	O	B-FAC	O	O	
in	O	O	I-FAC	O	O	
Minneapolis	B-GPE	O	I-FAC	O	O	
and	O	O	I-FAC	O	O	
St.	B-PER	B-GPE	I-FAC	O	O	
Paul	O	I-GPE	I-FAC	O	O	
.	O	O	O	O	O	

Nor	O	O	O	O	O	
was	O	O	O	O	O	
she	O	O	O	O	O	
thinking	O	O	O	O	O	
of	O	O	O	O	O	
squaws	B-PER	O	O	O	O	
and	O	O	O	O	O	
portages	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
the	B-PER	O	O	O	O	
Yankee	I-PER	O	O	O	O	
fur-traders	I-PER	O	O	O	O	
whose	I-PER	O	O	O	O	
shadows	I-PER	O	O	O	O	
were	I-PER	O	O	O	O	
all	I-PER	O	O	O	O	
about	I-PER	O	O	O	O	
her	I-PER	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
was	O	O	O	O	O	
meditating	O	O	O	O	O	
upon	O	O	O	O	O	
walnut	O	O	O	O	O	
fudge	O	O	O	O	O	
,	O	O	O	O	O	
the	O	O	O	O	O	
plays	O	O	O	O	O	
of	O	O	O	O	O	
Brieux	B-PER	O	O	O	O	
,	O	O	O	O	O	
the	O	O	O	O	O	
reasons	O	O	O	O	O	
why	O	O	O	O	O	
heels	B-PER	O	O	O	O	
run	O	O	O	O	O	
over	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
the	O	O	O	O	O	
fact	O	O	O	O	O	
that	O	O	O	O	O	
the	B-PER	O	O	O	O	
chemistry	I-PER	O	O	O	O	
instructor	I-PER	O	O	O	O	
had	O	O	O	O	O	
stared	O	O	O	O	O	
at	O	O	O	O	O	
the	O	O	O	O	O	
new	O	O	O	O	O	
coiffure	O	O	O	O	O	
which	O	O	O	O	O	
concealed	O	O	O	O	O	
her	O	O	O	O	O	
ears	O	O	O	O	O	
.	O	O	O	O	O	

A	O	O	O	O	O	
breeze	O	O	O	O	O	
which	O	O	O	O	O	
had	O	O	O	O	O	
crossed	O	O	O	O	O	
a	O	O	O	O	O	
thousand	O	O	O	O	O	
miles	O	O	O	O	O	
of	O	O	O	O	O	
wheat-lands	B-LOC	O	O	O	O	
bellied	O	O	O	O	O	
her	O	O	O	O	O	
taffeta	O	O	O	O	O	
skirt	O	O	O	O	O	
in	O	O	O	O	O	
a	O	O	O	O	O	
line	O	O	O	O	O	
so	O	O	O	O	O	
graceful	O	O	O	O	O	
,	O	O	O	O	O	
so	O	O	O	O	O	
full	O	O	O	O	O	
of	O	O	O	O	O	
animation	O	O	O	O	O	
and	O	O	O	O	O	
moving	O	O	O	O	O	
beauty	O	O	O	O	O	
,	O	O	O	O	O	
that	O	O	O	O	O	
the	O	O	O	O	O	
heart	O	O	O	O	O	
of	O	O	O	O	O	
a	B-PER	O	O	O	O	
chance	I-PER	O	O	O	O	
watcher	I-PER	O	O	O	O	
on	O	O	O	O	O	
the	B-FAC	O	O	O	O	
lower	I-FAC	O	O	O	O	
road	I-FAC	O	O	O	O	
tightened	O	O	O	O	O	
to	O	O	O	O	O	
wistfulness	O	O	O	O	O	
over	O	O	O	O	O	
her	O	O	O	O	O	
quality	O	O	O	O	O	
of	O	O	O	O	O	
suspended	O	O	O	O	O	
freedom	O	O	O	O	O	
.	O	O	O	O	O	

She	O	O	O	O	O	
lifted	O	O	O	O	O	
her	O	O	O	O	O	
arms	O	O	O	O	O	
,	O	O	O	O	O	
she	O	O	O	O	O	
leaned	O	O	O	O	O	
back	O	O	O	O	O	
against	O	O	O	O	O	
the	O	O	O	O	O	
wind	O	O	O	O	O	
,	O	O	O	O	O	
her	O	O	O	O	O	
skirt	O	O	O	O	O	
dipped	O	O	O	O	O	
and	O	O	O	O	O	
flared	O	O	O	O	O	
,	O	O	O	O	O	
a	O	O	O	O	O	
lock	O	O	O	O	O	
blew	O	O	O	O	O	
wild	O	O	O	O	O	
.	O	O	O	O	O	

A	O	B-PER	O	O	O	
girl	O	I-PER	O	O	O	
on	O	I-PER	O	O	O	
a	B-LOC	I-PER	O	O	O	
hilltop	I-LOC	I-PER	O	O	O	
;	O	O	O	O	O	
credulous	O	O	O	O	O	
,	O	O	O	O	O	
plastic	O	O	O	O	O	
,	O	O	O	O	O	
young	O	O	O	O	O	
;	O	O	O	O	O	
drinking	O	O	O	O	O	
the	O	O	O	O	O	
air	O	O	O	O	O	
as	O	O	O	O	O	
she	O	O	O	O	O	
longed	O	O	O	O	O	
to	O	O	O	O	O	
drink	O	O	O	O	O	
life	O	O	O	O	O	
.	O	O	O	O	O	

The	O	O	O	O	O	
eternal	O	O	O	O	O	
aching	O	O	O	O	O	
comedy	O	O	O	O	O	
of	O	O	O	O	O	
expectant	O	O	O	O	O	
youth	O	O	O	O	O	
.	O	O	O	O	O	

It	O	O	O	O	O	
is	O	O	O	O	O	
Carol	B-PER	O	O	O	O	
Milford	I-PER	O	O	O	O	
,	O	O	O	O	O	
fleeing	O	O	O	O	O	
for	O	O	O	O	O	
an	O	O	O	O	O	
hour	O	O	O	O	O	
from	O	O	O	O	O	
Blodgett	B-ORG	O	O	O	O	
College	I-ORG	O	O	O	O	
.	O	O	O	O	O	

The	O	O	O	O	O	
days	O	O	O	O	O	
of	O	O	O	O	O	
pioneering	O	O	O	O	O	
,	O	O	O	O	O	
of	O	O	O	O	O	
lassies	B-PER	O	O	O	O	
in	I-PER	O	O	O	O	
sunbonnets	I-PER	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
bears	O	O	O	O	O	
killed	O	O	O	O	O	
with	O	O	O	O	O	
axes	O	O	O	O	O	
in	O	O	O	O	O	
piney	O	O	O	O	O	
