CHAPTER	O	O	O	O	
I	O	O	O	O	
ON	O	O	O	O	
THE	O	B-LOC	O	O	
ARIZONA	B-GPE	I-LOC	O	O	
HILLS	O	I-LOC	O	O	
I	O	O	O	O	
am	O	O	O	O	
a	B-PER	O	O	O	
very	I-PER	O	O	O	
old	I-PER	O	O	O	
man	I-PER	O	O	O	
;	O	O	O	O	
how	O	O	O	O	
old	O	O	O	O	
I	O	O	O	O	
do	O	O	O	O	
not	O	O	O	O	
know	O	O	O	O	
.	O	O	O	O	

Possibly	O	O	O	O	
I	O	O	O	O	
am	O	O	O	O	
a	O	O	O	O	
hundred	O	O	O	O	
,	O	O	O	O	
possibly	O	O	O	O	
more	O	O	O	O	
;	O	O	O	O	
but	O	O	O	O	
I	O	O	O	O	
can	O	O	O	O	
not	O	O	O	O	
tell	O	O	O	O	
because	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
never	O	O	O	O	
aged	O	O	O	O	
as	O	O	O	O	
other	B-PER	O	O	O	
men	I-PER	O	O	O	
,	O	O	O	O	
nor	O	O	O	O	
do	O	O	O	O	
I	O	O	O	O	
remember	O	O	O	O	
any	O	O	O	O	
childhood	O	O	O	O	
.	O	O	O	O	

So	O	O	O	O	
far	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
can	O	O	O	O	
recollect	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
always	O	O	O	O	
been	O	O	O	O	
a	B-PER	O	O	O	
man	I-PER	O	O	O	
,	O	O	O	O	
a	B-PER	O	O	O	
man	I-PER	O	O	O	
of	I-PER	O	O	O	
about	I-PER	O	O	O	
thirty	I-PER	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
appear	O	O	O	O	
today	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
did	O	O	O	O	
forty	O	O	O	O	
years	O	O	O	O	
and	O	O	O	O	
more	O	O	O	O	
ago	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
yet	O	O	O	O	
I	O	O	O	O	
feel	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
can	O	O	O	O	
not	O	O	O	O	
go	O	O	O	O	
on	O	O	O	O	
living	O	O	O	O	
forever	O	O	O	O	
;	O	O	O	O	
that	O	O	O	O	
some	O	O	O	O	
day	O	O	O	O	
I	O	O	O	O	
shall	O	O	O	O	
die	O	O	O	O	
the	O	O	O	O	
real	O	O	O	O	
death	O	O	O	O	
from	O	O	O	O	
which	O	O	O	O	
there	O	O	O	O	
is	O	O	O	O	
no	O	O	O	O	
resurrection	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
do	O	O	O	O	
not	O	O	O	O	
know	O	O	O	O	
why	O	O	O	O	
I	O	O	O	O	
should	O	O	O	O	
fear	O	O	O	O	
death	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
who	O	O	O	O	
have	O	O	O	O	
died	O	O	O	O	
twice	O	O	O	O	
and	O	O	O	O	
am	O	O	O	O	
still	O	O	O	O	
alive	O	O	O	O	
;	O	O	O	O	
but	O	O	O	O	
yet	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
the	O	O	O	O	
same	O	O	O	O	
horror	O	O	O	O	
of	O	O	O	O	
it	O	O	O	O	
as	O	O	O	O	
you	O	O	O	O	
who	O	O	O	O	
have	O	O	O	O	
never	O	O	O	O	
died	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
it	O	O	O	O	
is	O	O	O	O	
because	O	O	O	O	
of	O	O	O	O	
this	O	O	O	O	
terror	O	O	O	O	
of	O	O	O	O	
death	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
believe	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
am	O	O	O	O	
so	O	O	O	O	
convinced	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
mortality	O	O	O	O	
.	O	O	O	O	

And	O	O	O	O	
because	O	O	O	O	
of	O	O	O	O	
this	O	O	O	O	
conviction	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
determined	O	O	O	O	
to	O	O	O	O	
write	O	O	O	O	
down	O	O	O	O	
the	O	O	O	O	
story	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
interesting	O	O	O	O	
periods	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
life	O	O	O	O	
and	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
death	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
can	O	O	O	O	
not	O	O	O	O	
explain	O	O	O	O	
the	O	O	O	O	
