CHAPTER	O	O	O	O	
I	O	O	O	O	
“	O	O	O	O	
TOM	B-PER	O	O	O	
!	O	O	O	O	
”	O	O	O	O	

No	O	O	O	O	
answer	O	O	O	O	
.	O	O	O	O	

“	O	O	O	O	
TOM	B-PER	O	O	O	
!	O	O	O	O	
”	O	O	O	O	

No	O	O	O	O	
answer	O	O	O	O	
.	O	O	O	O	

“	O	O	O	O	
What	O	O	O	O	
's	O	O	O	O	
gone	O	O	O	O	
with	O	O	O	O	
that	B-PER	O	O	O	
boy	I-PER	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
wonder	O	O	O	O	
?	O	O	O	O	

You	O	O	O	O	
TOM	B-PER	O	O	O	
!	O	O	O	O	
”	O	O	O	O	

No	O	O	O	O	
answer	O	O	O	O	
.	O	O	O	O	

The	B-PER	O	O	O	
old	I-PER	O	O	O	
lady	I-PER	O	O	O	
pulled	O	O	O	O	
her	O	O	O	O	
spectacles	O	O	O	O	
down	O	O	O	O	
and	O	O	O	O	
looked	O	O	O	O	
over	O	O	O	O	
them	O	O	O	O	
about	O	O	O	O	
the	B-FAC	O	O	O	
room	I-FAC	O	O	O	
;	O	O	O	O	
then	O	O	O	O	
she	O	O	O	O	
put	O	O	O	O	
them	O	O	O	O	
up	O	O	O	O	
and	O	O	O	O	
looked	O	O	O	O	
out	O	O	O	O	
under	O	O	O	O	
them	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
seldom	O	O	O	O	
or	O	O	O	O	
never	O	O	O	O	
looked	O	O	O	O	
_	O	O	O	O	
through	O	O	O	O	
_	O	O	O	O	
them	O	O	O	O	
for	O	O	O	O	
so	O	O	O	O	
small	O	O	O	O	
a	O	O	O	O	
thing	O	O	O	O	
as	O	O	O	O	
a	B-PER	O	O	O	
boy	I-PER	O	O	O	
;	O	O	O	O	
they	O	O	O	O	
were	O	O	O	O	
her	O	O	O	O	
state	O	O	O	O	
pair	O	O	O	O	
,	O	O	O	O	
the	O	O	O	O	
pride	O	O	O	O	
of	O	O	O	O	
her	B-PER	O	O	O	
heart	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
were	O	O	O	O	
built	O	O	O	O	
for	O	O	O	O	
“	O	O	O	O	
style	O	O	O	O	
,	O	O	O	O	
”	O	O	O	O	
not	O	O	O	O	
service	O	O	O	O	
--	O	O	O	O	
she	O	O	O	O	
could	O	O	O	O	
have	O	O	O	O	
seen	O	O	O	O	
through	O	O	O	O	
a	O	O	O	O	
pair	O	O	O	O	
of	O	O	O	O	
stove-lids	O	O	O	O	
just	O	O	O	O	
as	O	O	O	O	
well	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
looked	O	O	O	O	
perplexed	O	O	O	O	
for	O	O	O	O	
a	O	O	O	O	
moment	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
then	O	O	O	O	
said	O	O	O	O	
,	O	O	O	O	
not	O	O	O	O	
fiercely	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
still	O	O	O	O	
loud	O	O	O	O	
enough	O	O	O	O	
for	O	O	O	O	
the	O	O	O	O	
furniture	O	O	O	O	
to	O	O	O	O	
hear	O	O	O	O	
:	O	O	O	O	
“	O	O	O	O	
Well	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
lay	O	O	O	O	
if	O	O	O	O	
I	O	O	O	O	
get	O	O	O	O	
hold	O	O	O	O	
of	O	O	O	O	
you	O	O	O	O	
I	O	O	O	O	
'll	O	O	O	O	
--	O	O	O	O	
”	O	O	O	O	
She	O	O	O	O	
did	O	O	O	O	
not	O	O	O	O	
finish	O	O	O	O	
,	O	O	O	O	
for	O	O	O	O	
by	O	O	O	O	
this	O	O	O	O	
time	O	O	O	O	
she	O	O	O	O	
was	O	O	O	O	
bending	O	O	O	O	
down	O	O	O	O	
and	O	O	O	O	
punching	O	O	O	O	
under	O	O	O	O	
the	O	O	O	O	
bed	O	O	O	O	
with	O	O	O	O	
the	O	O	O	O	
broom	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
so	O	O	O	O	
she	O	O	O	O	
needed	O	O	O	O	
breath	O	O	O	O	
to	O	O	O	O	
punctuate	O	O	O	O	
the	O	O	O	O	
punches	O	O	O	O	
with	O	O	O	O	
.	O	O	O	O	

She	O	O	O	O	
resurrected	O	O	O	O	
nothing	O	O	O	O	
but	O	O	O	O	
the	O	O	O	O	
cat	O	O	O	O	
.	O	O	O	O	

“	O	O	O	O	
I	O	O	O	O	
never	O	O	O	O	
did	O	O	O	O	
see	O	O	O	O	
