CHAPTER	O	O	O	O	
1	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
AM	O	O	O	O	
BORN	O	O	O	O	
Whether	O	O	O	O	
I	O	O	O	O	
shall	O	O	O	O	
turn	O	O	O	O	
out	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
the	B-PER	O	O	O	
hero	I-PER	O	O	O	
of	I-PER	O	O	O	
my	I-PER	O	O	O	
own	I-PER	O	O	O	
life	I-PER	O	O	O	
,	O	O	O	O	
or	O	O	O	O	
whether	O	O	O	O	
that	O	O	O	O	
station	O	O	O	O	
will	O	O	O	O	
be	O	O	O	O	
held	O	O	O	O	
by	O	O	O	O	
anybody	B-PER	O	O	O	
else	I-PER	O	O	O	
,	O	O	O	O	
these	O	O	O	O	
pages	O	O	O	O	
must	O	O	O	O	
show	O	O	O	O	
.	O	O	O	O	

To	O	O	O	O	
begin	O	O	O	O	
my	O	O	O	O	
life	O	O	O	O	
with	O	O	O	O	
the	O	O	O	O	
beginning	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
life	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
record	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
born	O	O	O	O	
(	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
been	O	O	O	O	
informed	O	O	O	O	
and	O	O	O	O	
believe	O	O	O	O	
)	O	O	O	O	
on	O	O	O	O	
a	O	O	O	O	
Friday	O	O	O	O	
,	O	O	O	O	
at	O	O	O	O	
twelve	O	O	O	O	
o’clock	O	O	O	O	
at	O	O	O	O	
night	O	O	O	O	
.	O	O	O	O	

It	O	O	O	O	
was	O	O	O	O	
remarked	O	O	O	O	
that	O	O	O	O	
the	O	O	O	O	
clock	O	O	O	O	
began	O	O	O	O	
to	O	O	O	O	
strike	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
I	O	O	O	O	
began	O	O	O	O	
to	O	O	O	O	
cry	O	O	O	O	
,	O	O	O	O	
simultaneously	O	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
consideration	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
day	O	O	O	O	
and	O	O	O	O	
hour	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
birth	O	O	O	O	
,	O	O	O	O	
it	O	O	O	O	
was	O	O	O	O	
declared	O	O	O	O	
by	O	O	O	O	
the	B-PER	O	O	O	
nurse	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
by	O	O	O	O	
some	O	B-PER	O	O	
sage	O	I-PER	O	O	
women	O	I-PER	O	O	
in	O	I-PER	O	O	
the	B-FAC	I-PER	O	O	
neighbourhood	I-FAC	I-PER	O	O	
who	O	I-PER	O	O	
had	O	I-PER	O	O	
taken	O	I-PER	O	O	
a	O	I-PER	O	O	
lively	O	I-PER	O	O	
interest	O	I-PER	O	O	
in	O	I-PER	O	O	
me	O	I-PER	O	O	
several	O	I-PER	O	O	
months	O	I-PER	O	O	
before	O	I-PER	O	O	
there	O	I-PER	O	O	
was	O	I-PER	O	O	
any	O	I-PER	O	O	
possibility	O	I-PER	O	O	
of	O	I-PER	O	O	
our	O	I-PER	O	O	
becoming	O	I-PER	O	O	
personally	O	I-PER	O	O	
acquainted	O	I-PER	O	O	
,	O	O	O	O	
first	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
destined	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
unlucky	O	O	O	O	
in	O	O	O	O	
life	O	O	O	O	
;	O	O	O	O	
and	O	O	O	O	
secondly	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
privileged	O	O	O	O	
to	O	O	O	O	
see	O	O	O	O	
ghosts	O	O	O	O	
and	O	O	O	O	
spirits	O	O	O	O	
;	O	O	O	O	
both	O	O	O	O	
these	O	O	O	O	
gifts	O	O	O	O	
inevitably	O	O	O	O	
attaching	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
they	O	O	O	O	
believed	O	O	O	O	
,	O	O	O	O	
to	O	O	O	O	
all	B-PER	O	O	O	
unlucky	I-PER	O	O	O	
infants	I-PER	O	O	O	
of	I-PER	O	O	O	
either	I-PER	O	O	O	
gender	I-PER	O	O	O	
,	I-PER	O	O	O	
born	I-PER	O	O	O	
towards	I-PER	O	O	O	
the	I-PER	O	O	O	
small	I-PER	O	O	O	
hours	I-PER	O	O	O	
on	I-PER	O	O	O	
a	I-PER	O	O	O	
Friday	I-PER	O	O	O	
night	I-PER	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
need	O	O	O	O	
say	O	O	O	O	
nothing	O	O	O	O	
here	O	O	O	O	
,	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
first	O	O	O	O	
head	O	O	O	O	
,	O	O	O	O	
because	O	O	O	O	
nothing	O	O	O	O	
can	O	O	O	O	
show	O	O	O	O	
better	O	O	O	O	
than	O	O	O	O	
my	O	O	O	O	
history	O	O	O	O	
whether	O	O	O	O	
that	O	O	O	O	
prediction	O	O	O	O	
was	O	O	O	O	
verified	O	O	O	O	
or	O	O	O	O	
falsified	O	O	O	O	
by	O	O	O	O	
the	O	O	O	O	
result	O	O	O	O	
.	O	O	O	O	

On	O	O	O	O	
the	O	O	O	O	
second	O	O	O	O	
branch	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
question	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
will	O	O	O	O	
only	O	O	O	O	
remark	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
unless	O	O	O	O	
I	O	O	O	O	
ran	O	O	O	O	
through	O	O	O	O	
that	O	O	O	O	
part	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
inheritance	O	O	O	O	
while	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
still	O	O	O	O	
a	B-PER	O	O	O	
baby	I-PER	O	O	O	
