Chapter	O	O	O	O	
I	O	O	O	O	
Out	O	O	O	O	
to	O	O	O	O	
Sea	B-LOC	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
this	O	O	O	O	
story	O	O	O	O	
from	O	O	O	O	
one	O	B-PER	O	O	
who	O	I-PER	O	O	
had	O	I-PER	O	O	
no	O	I-PER	O	O	
business	O	I-PER	O	O	
to	O	I-PER	O	O	
tell	O	I-PER	O	O	
it	O	I-PER	O	O	
to	O	I-PER	O	O	
me	O	I-PER	O	O	
,	O	I-PER	O	O	
or	O	I-PER	O	O	
to	O	I-PER	O	O	
any	B-PER	I-PER	O	O	
other	I-PER	I-PER	O	O	
.	O	O	O	O	

I	O	O	O	O	
may	O	O	O	O	
credit	O	O	O	O	
the	O	O	O	O	
seductive	O	O	O	O	
influence	O	O	O	O	
of	O	O	O	O	
an	O	O	O	O	
old	O	O	O	O	
vintage	O	O	O	O	
upon	O	O	O	O	
the	B-PER	O	O	O	
narrator	I-PER	O	O	O	
for	O	O	O	O	
the	O	O	O	O	
beginning	O	O	O	O	
of	O	O	O	O	
it	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
my	O	O	O	O	
own	O	O	O	O	
skeptical	O	O	O	O	
incredulity	O	O	O	O	
during	O	O	O	O	
the	O	O	O	O	
days	O	O	O	O	
that	O	O	O	O	
followed	O	O	O	O	
for	O	O	O	O	
the	O	O	O	O	
balance	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
strange	O	O	O	O	
tale	O	O	O	O	
.	O	O	O	O	

When	O	O	O	O	
my	B-PER	O	O	O	
convivial	I-PER	O	O	O	
host	I-PER	O	O	O	
discovered	O	O	O	O	
that	O	O	O	O	
he	O	O	O	O	
had	O	O	O	O	
told	O	O	O	O	
me	O	O	O	O	
so	O	O	O	O	
much	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
that	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
prone	O	O	O	O	
to	O	O	O	O	
doubtfulness	O	O	O	O	
,	O	O	O	O	
his	O	O	O	O	
foolish	O	O	O	O	
pride	O	O	O	O	
assumed	O	O	O	O	
the	O	O	O	O	
task	O	O	O	O	
the	O	O	O	O	
old	O	O	O	O	
vintage	O	O	O	O	
had	O	O	O	O	
commenced	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
so	O	O	O	O	
he	O	O	O	O	
unearthed	O	O	O	O	
written	O	O	O	O	
evidence	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
form	O	O	O	O	
of	O	O	O	O	
musty	O	O	O	O	
manuscript	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
dry	O	O	O	O	
official	O	O	O	O	
records	O	O	O	O	
of	O	O	O	O	
the	B-ORG	O	O	O	
British	I-ORG	O	O	O	
Colonial	I-ORG	O	O	O	
Office	I-ORG	O	O	O	
to	O	O	O	O	
support	O	O	O	O	
many	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
salient	O	O	O	O	
features	O	O	O	O	
of	O	O	O	O	
his	O	O	O	O	
remarkable	O	O	O	O	
narrative	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
do	O	O	O	O	
not	O	O	O	O	
say	O	O	O	O	
the	O	O	O	O	
story	O	O	O	O	
is	O	O	O	O	
true	O	O	O	O	
,	O	O	O	O	
for	O	O	O	O	
I	O	O	O	O	
did	O	O	O	O	
not	O	O	O	O	
witness	O	O	O	O	
the	O	O	O	O	
happenings	O	O	O	O	
which	O	O	O	O	
it	O	O	O	O	
portrays	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
the	O	O	O	O	
fact	O	O	O	O	
that	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
telling	O	O	O	O	
of	O	O	O	O	
it	O	O	O	O	
to	O	O	O	O	
you	O	O	O	O	
I	O	O	O	O	
have	O	O	O	O	
taken	O	O	O	O	
fictitious	O	O	O	O	
names	O	O	O	O	
for	O	O	O	O	
the	B-PER	O	O	O	
principal	I-PER	O	O	O	
characters	I-PER	O	O	O	
quite	O	O	O	O	
sufficiently	O	O	O	O	
evidences	O	O	O	O	
the	O	O	O	O	
sincerity	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
own	O	O	O	O	
belief	O	O	O	O	
that	O	O	O	O	
it	O	O	O	O	
MAY	O	O	O	O	
be	O	O	O	O	
true	O	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
yellow	O	O	O	O	
,	O	O	O	O	
mildewed	O	O	O	O	
pages	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
