BOOK	O	O	O	O	
ONE	O	O	O	O	
--	O	O	O	O	
The	B-PER	O	O	O	
Romantic	I-PER	O	O	O	
Egotist	I-PER	O	O	O	
CHAPTER	O	O	O	O	
1	O	O	O	O	
.	O	O	O	O	

Amory	B-PER	O	O	O	
,	O	O	O	O	
Son	O	B-PER	O	O	
of	O	I-PER	O	O	
Beatrice	B-PER	I-PER	O	O	
Amory	I-PER	I-PER	O	O	
Blaine	I-PER	I-PER	O	O	
inherited	O	O	O	O	
from	O	O	O	O	
his	B-PER	O	O	O	
mother	I-PER	O	O	O	
every	O	O	O	O	
trait	O	O	O	O	
,	O	O	O	O	
except	O	O	O	O	
the	O	O	O	O	
stray	O	O	O	O	
inexpressible	O	O	O	O	
few	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
made	O	O	O	O	
him	O	O	O	O	
worth	O	O	O	O	
while	O	O	O	O	
.	O	O	O	O	

His	B-PER	O	O	O	
father	I-PER	O	O	O	
,	O	O	O	O	
an	B-PER	O	O	O	
ineffectual	I-PER	O	O	O	
,	I-PER	O	O	O	
inarticulate	I-PER	O	O	O	
man	I-PER	O	O	O	
with	I-PER	O	O	O	
a	I-PER	O	O	O	
taste	I-PER	O	O	O	
for	I-PER	O	O	O	
Byron	I-PER	O	O	O	
and	I-PER	O	O	O	
a	I-PER	O	O	O	
habit	I-PER	O	O	O	
of	I-PER	O	O	O	
drowsing	I-PER	O	O	O	
over	I-PER	O	O	O	
the	I-PER	O	O	O	
Encyclopedia	I-PER	O	O	O	
Britannica	I-PER	O	O	O	
,	O	O	O	O	
grew	O	O	O	O	
wealthy	O	O	O	O	
at	O	O	O	O	
thirty	O	O	O	O	
through	O	O	O	O	
the	O	O	O	O	
death	O	O	O	O	
of	O	O	O	O	
two	B-PER	O	O	O	
elder	I-PER	O	O	O	
brothers	I-PER	O	O	O	
,	O	O	O	O	
successful	O	B-PER	O	O	
Chicago	B-GPE	I-PER	O	O	
brokers	O	I-PER	O	O	
,	O	O	O	O	
and	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
first	O	O	O	O	
flush	O	O	O	O	
of	O	O	O	O	
feeling	O	O	O	O	
that	O	O	O	O	
the	B-LOC	O	O	O	
world	I-LOC	O	O	O	
was	O	O	O	O	
his	O	O	O	O	
,	O	O	O	O	
went	O	O	O	O	
to	O	O	O	O	
Bar	B-GPE	O	O	O	
Harbor	I-GPE	O	O	O	
and	O	O	O	O	
met	O	O	O	O	
Beatrice	B-PER	O	O	O	
O'Hara	I-PER	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
consequence	O	O	O	O	
,	O	O	O	O	
Stephen	B-PER	O	O	O	
Blaine	I-PER	O	O	O	
handed	O	O	O	O	
down	O	O	O	O	
to	O	O	O	O	
posterity	O	O	O	O	
his	O	O	O	O	
height	O	O	O	O	
of	O	O	O	O	
just	O	O	O	O	
under	O	O	O	O	
six	O	O	O	O	
feet	O	O	O	O	
and	O	O	O	O	
his	O	O	O	O	
tendency	O	O	O	O	
to	O	O	O	O	
waver	O	O	O	O	
at	O	O	O	O	
crucial	O	O	O	O	
moments	O	O	O	O	
,	O	O	O	O	
these	O	O	O	O	
two	O	O	O	O	
abstractions	O	O	O	O	
appearing	O	O	O	O	
in	O	O	O	O	
his	B-PER	O	O	O	
son	I-PER	O	O	O	
Amory	B-PER	O	O	O	
.	O	O	O	O	

For	O	O	O	O	
many	O	O	O	O	
years	O	O	O	O	
he	O	O	O	O	
