Chapter	O	O	O	O	
I	O	O	O	O	
Major	B-PER	B-PER	O	O	
Amberson	O	I-PER	O	O	
had	O	O	O	O	
“	O	O	O	O	
made	O	O	O	O	
a	O	O	O	O	
fortune	O	O	O	O	
”	O	O	O	O	
in	O	O	O	O	
1873	O	O	O	O	
,	O	O	O	O	
when	O	O	O	O	
other	B-PER	O	O	O	
people	I-PER	O	O	O	
were	O	O	O	O	
losing	O	O	O	O	
fortunes	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
magnificence	O	O	O	O	
of	O	O	O	O	
the	B-PER	O	O	O	
Ambersons	I-PER	O	O	O	
began	O	O	O	O	
then	O	O	O	O	
.	O	O	O	O	

Magnificence	O	O	O	O	
,	O	O	O	O	
like	O	O	O	O	
the	O	O	O	O	
size	O	O	O	O	
of	O	O	O	O	
a	O	O	O	O	
fortune	O	O	O	O	
,	O	O	O	O	
is	O	O	O	O	
always	O	O	O	O	
comparative	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
even	O	O	O	O	
Magnificent	B-PER	O	O	O	
Lorenzo	I-PER	O	O	O	
may	O	O	O	O	
now	O	O	O	O	
perceive	O	O	O	O	
,	O	O	O	O	
if	O	O	O	O	
he	O	O	O	O	
has	O	O	O	O	
happened	O	O	O	O	
to	O	O	O	O	
haunt	O	O	O	O	
New	B-GPE	O	O	O	
York	I-GPE	O	O	O	
in	O	O	O	O	
1916	O	O	O	O	
;	O	O	O	O	
and	O	O	O	O	
the	B-PER	O	O	O	
Ambersons	I-PER	O	O	O	
were	O	O	O	O	
magnificent	O	O	O	O	
in	O	O	O	O	
their	O	O	O	O	
day	O	O	O	O	
and	O	O	O	O	
place	O	O	O	O	
.	O	O	O	O	

Their	O	O	O	O	
splendour	O	O	O	O	
lasted	O	O	O	O	
throughout	O	O	O	O	
all	O	O	O	O	
the	O	O	O	O	
years	O	O	O	O	
that	O	O	O	O	
saw	O	O	O	O	
their	B-GPE	O	O	O	
Midland	I-GPE	O	O	O	
town	I-GPE	O	O	O	
spread	O	O	O	O	
and	O	O	O	O	
darken	O	O	O	O	
into	O	O	O	O	
a	B-GPE	O	O	O	
city	I-GPE	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
reached	O	O	O	O	
its	O	O	O	O	
topmost	O	O	O	O	
during	O	O	O	O	
the	O	O	O	O	
period	O	O	O	O	
when	O	O	O	O	
every	O	B-PER	O	O	
prosperous	O	I-PER	O	O	
family	O	I-PER	O	O	
with	O	I-PER	O	O	
children	B-PER	I-PER	O	O	
kept	O	O	O	O	
a	O	O	O	O	
Newfoundland	B-GPE	O	O	O	
dog	O	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
that	B-GPE	O	O	O	
town	I-GPE	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
those	O	O	O	O	
days	O	O	O	O	
,	O	O	O	O	
all	B-PER	O	O	O	
the	I-PER	O	O	O	
women	I-PER	O	O	O	
who	I-PER	O	O	O	
wore	I-PER	O	O	O	
silk	I-PER	O	O	O	
or	I-PER	O	O	O	
velvet	I-PER	O	O	O	
knew	O	O	O	O	
all	B-PER	O	O	O	
the	I-PER	O	O	O	
other	I-PER	O	O	O	
women	I-PER	O	O	O	
who	I-PER	O	O	O	
wore	I-PER	O	O	O	
silk	I-PER	O	O	O	
or	I-PER	O	O	O	
velvet	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
when	O	O	O	O	
there	O	O	O	O	
was	O	O	O	O	
a	O	O	O	O	
new	O	O	O	O	
purchase	O	O	O	O	
of	O	O	O	O	
sealskin	O	O	O	O	
,	O	O	O	O	
sick	B-PER	O	O	O	
people	I-PER	O	O	O	
were	O	O	O	O	
got	O	O	O	O	
to	O	O	O	O	
windows	O	O	O	O	
to	O	O	O	O	
see	O	O	O	O	
it	O	O	O	O	
go	O	O	O	O	
by	O	O	O	O	
.	O	O	O	O	

Trotters	O	O	O	O	
were	O	O	O	O	
out	O	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
winter	O	O	O	O	
afternoons	O	O	O	O	
,	O	O	O	O	
racing	O	O	O	O	
light	O	O	O	O	
sleighs	O	O	O	O	
on	O	O	O	O	
National	B-FAC	O	O	O	
Avenue	I-FAC	O	O	O	
and	O	O	O	O	
Tennessee	B-FAC	O	O	O	
Street	I-FAC	O	O	O	
;	O	O	O	O	
everybody	B-PER	O	O	O	
recognized	O	O	O	O	
both	O	O	O	O	
the	O	O	O	O	
trotters	O	O	O	O	
and	O	O	O	O	
