PART	O
I	O
.	O

A	O
VOYAGE	O
TO	O
LILLIPUT	O
.	O

CHAPTER	O
I	O
.	O

The	O
author	O
gives	EVENT
some	O
account	O
of	O
himself	O
and	O
family	O
.	O

His	O
first	O
inducements	O
to	O
travel	O
.	O

He	O
is	O
shipwrecked	EVENT
,	O
and	O
swims	EVENT
for	O
his	O
life	O
.	O

Gets	EVENT
safe	O
on	O
shore	O
in	O
the	O
country	O
of	O
Lilliput	O
;	O
is	O
made	EVENT
a	O
prisoner	O
,	O
and	O
carried	EVENT
up	O
the	O
country	O
.	O

My	O
father	O
had	O
a	O
small	O
estate	O
in	O
Nottinghamshire	O
:	O
I	O
was	O
the	O
third	O
of	O
five	O
sons	O
.	O

He	O
sent	EVENT
me	O
to	O
Emanuel	O
College	O
in	O
Cambridge	O
at	O
fourteen	O
years	O
old	O
,	O
where	O
I	O
resided	O
three	O
years	O
,	O
and	O
applied	O
myself	O
close	O
to	O
my	O
studies	O
;	O
but	O
the	O
charge	O
of	O
maintaining	O
me	O
,	O
although	O
I	O
had	O
a	O
very	O
scanty	O
allowance	O
,	O
being	O
too	O
great	O
for	O
a	O
narrow	O
fortune	O
,	O
I	O
was	O
bound	EVENT
apprentice	O
to	O
Mr.	O
James	O
Bates	O
,	O
an	O
eminent	O
surgeon	O
in	O
London	O
,	O
with	O
whom	O
I	O
continued	O
four	O
years	O
.	O

My	O
father	O
now	O
and	O
then	O
sending	O
me	O
small	O
sums	O
of	O
money	O
,	O
I	O
laid	O
them	O
out	O
in	O
learning	O
navigation	O
,	O
and	O
other	O
parts	O
of	O
the	O
mathematics	O
,	O
useful	O
to	O
those	O
who	O
intend	O
to	O
travel	O
,	O
as	O
I	O
always	O
believed	O
it	O
would	O
be	O
,	O
some	O
time	O
or	O
other	O
,	O
my	O
fortune	O
to	O
do	O
.	O

When	O
I	O
left	EVENT
Mr.	O
Bates	O
,	O
I	O
went	EVENT
down	O
to	O
my	O
father	O
:	O
where	O
,	O
by	O
the	O
assistance	O
of	O
him	O
and	O
my	O
uncle	O
John	O
,	O
and	O
some	O
other	O
relations	O
,	O
I	O
got	EVENT
forty	O
pounds	O
,	O
and	O
a	O
promise	EVENT
of	O
thirty	O
pounds	O
a	O
year	O
to	O
maintain	O
me	O
at	O
Leyden	O
:	O
there	O
I	O
studied	O
physic	O
two	O
years	O
and	O
seven	O
months	O
,	O
knowing	O
it	O
would	O
be	O
useful	O
in	O
long	O
voyages	O
.	O

Soon	O
after	O
my	O
return	EVENT
from	O
Leyden	O
,	O
I	O
was	O
recommended	EVENT
by	O
my	O
good	O
master	O
,	O
Mr.	O
Bates	O
,	O
to	O
be	O
surgeon	O
to	O
the	O
Swallow	O
,	O
Captain	O
Abraham	O
Pannel	O
,	O
commander	O
;	O
with	O
whom	O
I	O
continued	O
three	O
years	O
and	O
a	O
half	O
,	O
making	O
a	O
voyage	O
or	O
two	O
into	O
the	O
Levant	O
,	O
and	O
some	O
other	O
parts	O
.	O

When	O
I	O
came	EVENT
back	O
I	O
resolved	EVENT
to	O
settle	O
in	O
London	O
;	O
to	O
which	O
Mr.	O
Bates	O
,	O
my	O
master	O
,	O
encouraged	EVENT
me	O
,	O
and	O
by	O
him	O
I	O
was	O
recommended	EVENT
to	O
several	O
patients	O
.	O

I	O
took	EVENT
part	O
of	O
a	O
small	O
house	O
in	O
the	O
Old	O
Jewry	O
;	O
and	O
being	O
advised	EVENT
to	O
alter	O
my	O
condition	O
,	O
I	O
married	EVENT
Mrs.	O
Mary	O
Burton	O
,	O
second	O
daughter	O
to	O
Mr.	O
Edmund	O
Burton	O
,	O
hosier	O
,	O
in	O
Newgate-street	O
,	O
with	O
whom	O
I	O
received	EVENT
four	O
hundred	O
pounds	O
for	O
a	O
portion	O
.	O

But	O
my	O
good	O
master	O
Bates	O
dying	EVENT
in	O
two	O
years	O
after	O
,	O
and	O
I	O
having	O
few	O
friends	O
,	O
my	O
business	O
began	O
to	O
fail	EVENT
;	O
for	O
my	O
conscience	O
would	O
not	O
suffer	O
me	O
to	O
imitate	O
the	O
bad	O
practice	O
of	O
too	O
many	O
among	O
my	O
brethren	O
.	O

Having	O
therefore	O
consulted	EVENT
with	O
my	O
wife	O
,	O
and	O
some	O
of	O
my	O
acquaintance	O
,	O
I	O
determined	EVENT
to	O
go	O
again	O
to	O
sea	O
.	O

I	O
was	O
surgeon	O
successively	O
in	O
two	O
ships	O
,	O
and	O
made	O
several	O
voyages	O
,	O
for	O
six	O
years	O
,	O
to	O
the	O
East	O
and	O
West	O
Indies	O
,	O
by	O
which	O
I	O
got	O
some	O
addition	O
to	O
my	O
fortune	O
.	O

My	O
hours	O
of	O
leisure	O
I	O
spent	O
in	O
reading	O
the	O
best	O
authors	O
,	O
ancient	O
and	O
modern	O
,	O
being	O
always	O
provided	O
with	O
a	O
good	O
number	O
of	O
books	O
;	O
and	O
when	O
I	O
was	O
ashore	O
,	O
in	O
observing	O
the	O
manners	O
and	O
dispositions	O
of	O
the	O
people	O
,	O
as	O
well	O
as	O
learning	O
their	O
language	O
;	O
wherein	O
I	O
had	O
a	O
great	O
facility	O
,	O
by	O
the	O
strength	O
of	O
my	O
memory	O
.	O

The	O
last	O
of	O
these	O
voyages	O
not	O
proving	O
very	O
fortunate	O
,	O
I	O
grew	O
weary	O
of	O
the	O
sea	O
,	O
and	O
intended	O
to	O
stay	O
at	O
home	O
with	O
my	O
wife	O
and	O
family	O
.	O

I	O
removed	EVENT
from	O
the	O
Old	O
Jewry	O
to	O
Fetter	O
Lane	O
,	O
and	O
from	O
thence	O
to	O
Wapping	O
,	O
hoping	O
to	O
get	O
business	O
among	O
the	O
sailors	O
;	O
but	O
it	O
would	O
not	O
turn	O
to	O
account	O
.	O

After	O
three	O
years	O
expectation	O
that	O
things	O
would	O
mend	O
,	O
I	O
accepted	EVENT
an	O
advantageous	O
offer	EVENT
from	O
Captain	O
William	O
Prichard	O
,	O
master	O
of	O
the	O
Antelope	O
,	O
who	O
was	O
making	O
a	O
voyage	O
to	O
the	O
South	O
Sea	O
.	O

We	O
set	O
sail	EVENT
from	O
Bristol	O
,	O
May	O
4	O
,	O
1699	O
,	O
and	O
our	O
voyage	EVENT
was	O
at	O
first	O
very	O
prosperous	O
.	O

It	O
would	O
not	O
be	O
proper	O
,	O
for	O
some	O
reasons	O
,	O
to	O
trouble	O
the	O
reader	O
with	O
the	O
particulars	O
of	O
our	O
adventures	O
in	O
those	O
seas	O
;	O
let	O
it	O
suffice	O
to	O
inform	EVENT
him	O
,	O
that	O
in	O
our	O
passage	EVENT
from	O
thence	O
to	O
the	O
East	O
